Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9422,0.0522,0.0882,0.3333,0.1395,0.9835,0.0267
5dir,ProcessAll,Sparse,0.9173,0.0352,0.0667,0.2222,0.1026,0.9844,0.0062
5dir,ProcessAll,Deep SVDD,0.9538,0.0844,0.1333,0.2222,0.1667,0.9911,0.005
5dir,ProcessAll,DAE,0.9393,0.0409,0.0769,0.3333,0.125,0.9812,0.006
5dir,ProcessAll,VAE,0.8635,0.0227,0.0556,0.1111,0.0741,0.9888,0.0074
5dir,ProcessAll,Beta-VAE,0.9169,0.0361,0.0698,0.3333,0.1154,0.9794,0.0073
5dir,ProcessAll,GMVAE,0.9288,0.0376,0.0588,0.2222,0.093,0.9826,0.0055
5dir,ProcessAll,Attention AE,0.9389,0.0446,0.0714,0.2222,0.1081,0.9853,0.0081
5dir,ProcessAll,LSTMAE,0.9391,0.0391,0.0548,0.4444,0.0976,0.9669,0.0083
5dir,ProcessAll,Robust,0.9329,0.0358,0.0494,0.4444,0.0889,0.9634,0.008
5dir,ProcessAll,Contractive,0.9188,0.0354,0.0645,0.2222,0.1,0.9839,0.007
5dir,ProcessEvent,Baseline,0.866,0.0278,0.0411,0.6667,0.0774,0.9361,0.0073
5dir,ProcessEvent,Sparse,0.8913,0.0317,0.0519,0.4444,0.093,0.9651,0.0084
5dir,ProcessEvent,Deep SVDD,0.7903,0.0403,0.0794,0.5556,0.1389,0.9723,0.005
5dir,ProcessEvent,DAE,0.8921,0.0318,0.0526,0.4444,0.0941,0.9656,0.006
5dir,ProcessEvent,VAE,0.7208,0.0125,0.0238,0.3333,0.0444,0.9424,0.008
5dir,ProcessEvent,Beta-VAE,0.8655,0.0317,0.06,0.3333,0.1017,0.9763,0.008
5dir,ProcessEvent,GMVAE,0.8913,0.0317,0.0526,0.4444,0.0941,0.9656,0.0071
5dir,ProcessEvent,Attention AE,0.8508,0.0227,0.0335,0.7778,0.0642,0.9088,0.008
5dir,ProcessEvent,LSTMAE,0.8463,0.0214,0.0343,0.6667,0.0652,0.9231,0.007
5dir,ProcessEvent,Robust,0.7518,0.0258,0.0432,0.6667,0.0811,0.9392,0.007
5dir,ProcessEvent,Contractive,0.8915,0.0318,0.0526,0.4444,0.0941,0.9656,0.006
5dir,ProcessExec,Baseline,0.7716,0.3939,1.0,0.3333,0.5,0.9973,0.0071
5dir,ProcessExec,Sparse,0.9297,0.0735,0.1379,0.4444,0.2105,0.9865,0.006
5dir,ProcessExec,Deep SVDD,0.8574,0.331,0.8,0.4444,0.5714,0.9973,0.005
5dir,ProcessExec,DAE,0.8587,0.142,0.2857,0.2222,0.25,0.9946,0.007
5dir,ProcessExec,VAE,0.8622,0.0213,0.0365,0.5556,0.0685,0.9388,0.007
5dir,ProcessExec,Beta-VAE,0.9212,0.0655,0.1111,0.4444,0.1778,0.9834,0.006
5dir,ProcessExec,GMVAE,0.9276,0.073,0.129,0.4444,0.2,0.9856,0.007
5dir,ProcessExec,Attention AE,0.8574,0.3991,1.0,0.3333,0.5,0.9973,0.0082
5dir,ProcessExec,LSTMAE,0.8553,0.379,1.0,0.3333,0.5,0.9973,0.0073
5dir,ProcessExec,Robust,0.7524,0.3536,1.0,0.3333,0.5,0.9973,0.007
5dir,ProcessExec,Contractive,0.9045,0.0685,0.129,0.4444,0.2,0.9856,0.006
5dir,ProcessNetflow,Baseline,0.9538,0.4405,0.5,1.0,0.6667,0.942,0.004
5dir,ProcessNetflow,Sparse,0.9192,0.4338,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Deep SVDD,0.9462,0.5458,0.75,0.75,0.75,0.971,0.004
