Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9583,0.0769,0.0845,0.6667,0.15,0.9696,0.038
5dir,ProcessAll,Sparse,0.9008,0.0556,0.1429,0.2222,0.1739,0.9915,0.032
5dir,ProcessAll,Deep SVDD,0.969,0.1113,0.1471,0.5556,0.2326,0.9853,0.011
5dir,ProcessAll,DAE,0.949,0.0521,0.1,0.3333,0.1538,0.9853,0.0054
5dir,ProcessAll,VAE,0.8968,0.0578,0.1429,0.2222,0.1739,0.9915,0.006
5dir,ProcessAll,Beta-VAE,0.8908,0.0568,0.1429,0.2222,0.1739,0.9915,0.006
5dir,ProcessAll,GMVAE,0.9183,0.061,0.1538,0.2222,0.1818,0.992,0.005
5dir,ProcessAll,Attention AE,0.9566,0.0759,0.0968,0.3333,0.15,0.9848,0.005
5dir,ProcessAll,LSTMAE,0.9516,0.0598,0.1429,0.1111,0.125,0.9937,0.007
5dir,ProcessAll,Robust,0.9502,0.0556,0.1429,0.1111,0.125,0.9937,0.006
5dir,ProcessAll,Contractive,0.8939,0.0573,0.1429,0.2222,0.1739,0.9915,0.005
5dir,ProcessEvent,Baseline,0.8967,0.0316,0.0488,0.6667,0.0909,0.9464,0.005
5dir,ProcessEvent,Sparse,0.8793,0.0321,0.0508,0.3333,0.0882,0.9723,0.005
5dir,ProcessEvent,Deep SVDD,0.8694,0.0363,0.056,0.7778,0.1045,0.9464,0.005
5dir,ProcessEvent,DAE,0.8794,0.0323,0.05,0.3333,0.087,0.9718,0.005
5dir,ProcessEvent,VAE,0.8727,0.0303,0.0588,0.3333,0.1,0.9759,0.005
5dir,ProcessEvent,Beta-VAE,0.8727,0.0332,0.0536,0.3333,0.0923,0.9736,0.005
5dir,ProcessEvent,GMVAE,0.8759,0.0282,0.0563,0.4444,0.1,0.9678,0.006
5dir,ProcessEvent,Attention AE,0.8291,0.0249,0.0469,0.6667,0.0876,0.9441,0.007
5dir,ProcessEvent,LSTMAE,0.8414,0.0192,0.0311,0.6667,0.0594,0.9151,0.005
5dir,ProcessEvent,Robust,0.7519,0.0255,0.048,0.6667,0.0896,0.9455,0.005
5dir,ProcessEvent,Contractive,0.8806,0.032,0.0508,0.3333,0.0882,0.9723,0.006
5dir,ProcessExec,Baseline,0.9007,0.2183,0.5,0.4444,0.4706,0.996,0.005
