Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9338,0.0389,0.08,0.2222,0.1176,0.9866,0.0111
5dir,ProcessAll,Sparse,0.8961,0.0358,0.0769,0.1111,0.0909,0.9911,0.011
5dir,ProcessAll,Deep SVDD,0.9537,0.0961,0.3333,0.1111,0.1667,0.9955,0.007
5dir,ProcessAll,DAE,0.8889,0.0348,0.0952,0.2222,0.1333,0.9884,0.01
5dir,ProcessAll,VAE,0.7527,0.0105,0.0152,0.5556,0.0295,0.853,0.009
5dir,ProcessAll,Beta-VAE,0.8206,0.0119,0.015,0.7778,0.0295,0.794,0.011
5dir,ProcessAll,GMVAE,0.9094,0.0354,0.0769,0.1111,0.0909,0.9911,0.01
5dir,ProcessAll,Attention AE,0.9117,0.0356,0.0769,0.1111,0.0909,0.9911,0.032
5dir,ProcessAll,LSTMAE,0.9421,0.0432,0.0645,0.2222,0.1,0.9839,0.025
5dir,ProcessAll,Robust,0.9379,0.0373,0.05,0.2222,0.0816,0.9799,0.009
5dir,ProcessAll,Contractive,0.8937,0.0308,0.0455,0.2222,0.0755,0.9781,0.0104
5dir,ProcessEvent,Baseline,0.8905,0.0222,0.0348,0.4444,0.0645,0.9482,0.009
5dir,ProcessEvent,Sparse,0.8031,0.0296,0.0656,0.4444,0.1143,0.9723,0.009
5dir,ProcessEvent,Deep SVDD,0.8537,0.0385,0.0714,0.3333,0.1176,0.9799,0.006
5dir,ProcessEvent,DAE,0.7419,0.0292,0.058,0.4444,0.1026,0.9687,0.009
5dir,ProcessEvent,VAE,0.6236,0.0075,0.0109,0.2222,0.0208,0.916,0.01
5dir,ProcessEvent,Beta-VAE,0.6681,0.0081,0.0114,0.6667,0.0224,0.7663,0.0112
5dir,ProcessEvent,GMVAE,0.7323,0.0292,0.0656,0.4444,0.1143,0.9723,0.01
5dir,ProcessEvent,Attention AE,0.7369,0.0292,0.0656,0.4444,0.1143,0.9723,0.031
5dir,ProcessEvent,LSTMAE,0.8972,0.0239,0.037,0.4444,0.0684,0.9513,0.024
5dir,ProcessEvent,Robust,0.8958,0.0262,0.0373,0.5556,0.0699,0.9406,0.01
5dir,ProcessEvent,Contractive,0.7312,0.0282,0.0588,0.4444,0.1039,0.9692,0.012
5dir,ProcessExec,Baseline,0.9013,0.205,0.5,0.2222,0.3077,0.996,0.01
5dir,ProcessExec,Sparse,0.967,0.1609,0.2222,0.4444,0.2963,0.9915,0.009
5dir,ProcessExec,Deep SVDD,0.8481,0.2826,0.6667,0.4444,0.5333,0.9969,0.006
5dir,ProcessExec,DAE,0.9346,0.1432,0.2143,0.3333,0.2609,0.9924,0.009
5dir,ProcessExec,VAE,0.9062,0.0302,0.0714,0.1111,0.087,0.9906,0.01
5dir,ProcessExec,Beta-VAE,0.8978,0.0536,0.25,0.1111,0.1538,0.9951,0.009
5dir,ProcessExec,GMVAE,0.9678,0.1577,0.2222,0.4444,0.2963,0.9915,0.0094
5dir,ProcessExec,Attention AE,0.9671,0.161,0.2222,0.4444,0.2963,0.9915,0.034
5dir,ProcessExec,LSTMAE,0.8628,0.1239,0.25,0.2222,0.2353,0.9942,0.024
5dir,ProcessExec,Robust,0.7911,0.209,0.5,0.2222,0.3077,0.996,0.009
5dir,ProcessExec,Contractive,0.9668,0.1372,0.2222,0.4444,0.2963,0.9915,0.008
5dir,ProcessNetflow,Baseline,0.9192,0.5458,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Sparse,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Deep SVDD,0.9423,0.6652,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,DAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,VAE,0.7,0.2116,0.3333,0.75,0.4615,0.8986,0.004
5dir,ProcessNetflow,Beta-VAE,0.5231,0.1026,0.2,0.25,0.2222,0.8986,0.0055
5dir,ProcessNetflow,GMVAE,0.9154,0.6202,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Attention AE,0.9346,0.6562,1.0,0.5,0.6667,0.971,0.007
5dir,ProcessNetflow,LSTMAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.008
5dir,ProcessNetflow,Robust,0.9192,0.4256,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Contractive,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessParent,Baseline,0.8661,0.0218,0.036,0.4444,0.0667,0.9492,0.009
5dir,ProcessParent,Sparse,0.6787,0.012,0.05,0.1111,0.069,0.9878,0.01
5dir,ProcessParent,Deep SVDD,0.476,0.0164,0.0348,0.4444,0.0645,0.9474,0.006
5dir,ProcessParent,DAE,0.9012,0.0289,0.05,0.1111,0.069,0.9878,0.009
5dir,ProcessParent,VAE,0.6632,0.0081,0.0141,0.2222,0.0265,0.9334,0.0106
5dir,ProcessParent,Beta-VAE,0.6081,0.0069,0.011,0.4444,0.0214,0.8341,0.01
5dir,ProcessParent,GMVAE,0.5762,0.0117,0.05,0.1111,0.069,0.9878,0.009
5dir,ProcessParent,Attention AE,0.5445,0.0105,0.05,0.1111,0.069,0.9878,0.0341
5dir,ProcessParent,LSTMAE,0.8982,0.0282,0.0441,0.6667,0.0828,0.9397,0.023
5dir,ProcessParent,Robust,0.6783,0.018,0.0396,0.4444,0.0727,0.9538,0.009
5dir,ProcessParent,Contractive,0.5966,0.0106,0.05,0.1111,0.069,0.9878,0.008
cadets,ProcessAll,Baseline,0.9983,0.1052,0.1579,0.8182,0.2647,0.9989,0.1186
cadets,ProcessAll,Sparse,0.9281,0.0042,0.0122,0.2727,0.0234,0.9944,0.1079
cadets,ProcessAll,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0002,0.0444
cadets,ProcessAll,DAE,0.9587,0.0037,0.0056,0.4545,0.0111,0.9802,0.1015
cadets,ProcessAll,VAE,0.9281,0.0032,0.0075,0.1818,0.0144,0.9939,0.1041
cadets,ProcessAll,Beta-VAE,0.9217,0.0024,0.0043,0.2727,0.0085,0.9844,0.103
cadets,ProcessAll,GMVAE,0.9256,0.0033,0.0093,0.1818,0.0177,0.9951,0.1035
cadets,ProcessAll,Attention AE,0.9214,0.0021,0.0031,0.1818,0.0062,0.9856,0.548
cadets,ProcessAll,LSTMAE,0.9982,0.101,0.1452,0.8182,0.2466,0.9988,0.7336
cadets,ProcessAll,Robust,0.9986,0.1154,0.1765,0.8182,0.2903,0.999,0.1002
cadets,ProcessAll,Contractive,0.9266,0.0035,0.0089,0.1818,0.0169,0.9948,0.0995
cadets,ProcessEvent,Baseline,0.89,0.0016,0.0025,0.3636,0.005,0.9648,0.1011
cadets,ProcessEvent,Sparse,0.7422,0.0005,0.0008,0.5455,0.0016,0.8304,0.1013
cadets,ProcessEvent,Deep SVDD,0.5,0.0002,0.0002,1.0,0.0005,0.0002,0.044
cadets,ProcessEvent,DAE,0.7353,0.0005,0.0007,0.7273,0.0014,0.749,0.0993
cadets,ProcessEvent,VAE,0.7302,0.0005,0.0007,0.5455,0.0014,0.8135,0.102
cadets,ProcessEvent,Beta-VAE,0.7397,0.0005,0.0008,0.5455,0.0015,0.8276,0.1014
cadets,ProcessEvent,GMVAE,0.756,0.0006,0.0009,0.5455,0.0017,0.8453,0.102
cadets,ProcessEvent,Attention AE,0.7545,0.0006,0.0009,0.5455,0.0018,0.8534,0.5463
cadets,ProcessEvent,LSTMAE,0.8771,0.0013,0.0021,0.4545,0.0042,0.9479,0.7251
cadets,ProcessEvent,Robust,0.8919,0.0021,0.0036,0.2727,0.0071,0.9814,0.1
cadets,ProcessEvent,Contractive,0.7407,0.0005,0.0008,0.4545,0.0015,0.8535,0.099
cadets,ProcessExec,Baseline,0.9998,0.5144,0.5385,0.6364,0.5833,0.9998,0.0972
cadets,ProcessExec,Sparse,0.9094,0.0044,0.0131,0.4545,0.0255,0.9915,0.099
cadets,ProcessExec,Deep SVDD,0.5454,0.0911,1.0,0.0909,0.1667,0.9998,0.0461
cadets,ProcessExec,DAE,0.9839,0.0283,0.075,0.2727,0.1176,0.999,0.097
cadets,ProcessExec,VAE,0.9042,0.003,0.0076,0.0909,0.014,0.9969,0.1025
cadets,ProcessExec,Beta-VAE,0.919,0.0035,0.0111,0.0909,0.0198,0.9978,0.1032
cadets,ProcessExec,GMVAE,0.907,0.0044,0.0137,0.4545,0.0266,0.9918,0.1025
cadets,ProcessExec,Attention AE,0.9046,0.0042,0.0131,0.4545,0.0254,0.9915,0.5442
cadets,ProcessExec,LSTMAE,0.9996,0.5409,0.6364,0.6364,0.6364,0.9998,0.7272
cadets,ProcessExec,Robust,0.9995,0.3434,0.3125,0.4545,0.3704,0.9996,0.096
cadets,ProcessExec,Contractive,0.9068,0.0044,0.0137,0.4545,0.0265,0.9918,0.0965
cadets,ProcessNetflow,Baseline,0.9787,0.2604,0.4444,0.4,0.4211,0.9987,0.0232
cadets,ProcessNetflow,Sparse,0.9381,0.1112,1.0,0.1,0.1818,0.999,0.024
cadets,ProcessNetflow,Deep SVDD,0.9484,0.4196,0.3333,0.6,0.4286,0.9981,0.0121
cadets,ProcessNetflow,DAE,0.9217,0.0651,0.5,0.1,0.1667,0.9988,0.022
cadets,ProcessNetflow,VAE,0.9117,0.111,1.0,0.1,0.1818,0.999,0.023
cadets,ProcessNetflow,Beta-VAE,0.9106,0.1107,1.0,0.1,0.1818,0.999,0.0222
cadets,ProcessNetflow,GMVAE,0.9381,0.1113,1.0,0.1,0.1818,0.999,0.023
cadets,ProcessNetflow,Attention AE,0.9382,0.0614,0.5,0.1,0.1667,0.9988,0.105
cadets,ProcessNetflow,LSTMAE,0.9745,0.1755,0.2667,0.4,0.32,0.998,0.0704
cadets,ProcessNetflow,Robust,0.9778,0.3741,0.5,0.4,0.4444,0.9988,0.022
cadets,ProcessNetflow,Contractive,0.9419,0.1116,1.0,0.1,0.1818,0.999,0.021
cadets,ProcessParent,Baseline,0.9148,0.2758,0.375,0.375,0.375,0.9998,0.0952
cadets,ProcessParent,Sparse,0.885,0.1258,1.0,0.125,0.2222,0.9998,0.096
cadets,ProcessParent,Deep SVDD,0.5625,0.0627,0.5,0.125,0.2,0.9998,0.043
cadets,ProcessParent,DAE,0.9465,0.1275,1.0,0.125,0.2222,0.9998,0.0961
cadets,ProcessParent,VAE,0.8816,0.0015,0.0057,0.125,0.0109,0.9959,0.0997
cadets,ProcessParent,Beta-VAE,0.8626,0.0013,0.0051,0.125,0.0098,0.9955,0.1003
cadets,ProcessParent,GMVAE,0.8895,0.1258,1.0,0.125,0.2222,0.9998,0.0976
cadets,ProcessParent,Attention AE,0.8898,0.1258,1.0,0.125,0.2222,0.9998,0.5406
cadets,ProcessParent,LSTMAE,0.8272,0.2352,0.6667,0.25,0.3636,0.9998,0.7243
cadets,ProcessParent,Robust,0.9255,0.2539,0.6667,0.25,0.3636,0.9998,0.1007
cadets,ProcessParent,Contractive,0.8897,0.1258,1.0,0.125,0.2222,0.9998,0.098
clearscope,ProcessAll,Baseline,0.9883,0.7106,0.9,0.6923,0.7826,0.9979,0.009
clearscope,ProcessAll,Sparse,0.9456,0.3141,0.75,0.2308,0.3529,0.9955,0.009
clearscope,ProcessAll,Deep SVDD,0.999,0.8759,1.0,0.6923,0.8182,0.9984,0.007
clearscope,ProcessAll,DAE,0.9539,0.4795,0.75,0.4615,0.5714,0.9963,0.009
clearscope,ProcessAll,VAE,0.9197,0.0463,0.0651,0.8462,0.1209,0.9342,0.009
clearscope,ProcessAll,Beta-VAE,0.8842,0.0444,0.0611,0.8462,0.114,0.9297,0.009
clearscope,ProcessAll,GMVAE,0.9264,0.3139,0.75,0.2308,0.3529,0.9955,0.009
clearscope,ProcessAll,Attention AE,0.9264,0.3137,0.75,0.2308,0.3529,0.9955,0.0342
clearscope,ProcessAll,LSTMAE,0.9881,0.7108,0.9,0.6923,0.7826,0.9979,0.023
clearscope,ProcessAll,Robust,0.9893,0.7296,1.0,0.6923,0.8182,0.9984,0.009
clearscope,ProcessAll,Contractive,0.9263,0.3134,0.75,0.2308,0.3529,0.9955,0.009
clearscope,ProcessEvent,Baseline,0.8786,0.2598,0.3889,0.5385,0.4516,0.993,0.009
clearscope,ProcessEvent,Sparse,0.863,0.0301,0.0526,0.2308,0.0857,0.9737,0.009
clearscope,ProcessEvent,Deep SVDD,0.9102,0.6047,0.875,0.5385,0.6667,0.9971,0.006
clearscope,ProcessEvent,DAE,0.8657,0.0602,0.1169,0.6923,0.2,0.9704,0.0091
clearscope,ProcessEvent,VAE,0.8472,0.0463,0.125,0.2308,0.1622,0.9873,0.009
clearscope,ProcessEvent,Beta-VAE,0.8211,0.0324,0.1429,0.0769,0.1,0.9926,0.009
clearscope,ProcessEvent,GMVAE,0.8742,0.0535,0.1053,0.6154,0.1798,0.97,0.01
clearscope,ProcessEvent,Attention AE,0.8741,0.0535,0.1053,0.6154,0.1798,0.97,0.0351
clearscope,ProcessEvent,LSTMAE,0.9288,0.2535,0.4167,0.3846,0.4,0.9938,0.022
clearscope,ProcessEvent,Robust,0.9017,0.3087,0.3636,0.6154,0.4571,0.9922,0.011
clearscope,ProcessEvent,Contractive,0.874,0.0535,0.1053,0.6154,0.1798,0.97,0.009
clearscope,ProcessExec,Baseline,0.9845,0.6955,0.8182,0.6923,0.75,0.9975,0.009
clearscope,ProcessExec,Sparse,0.9575,0.5819,1.0,0.5385,0.7,0.9975,0.009
clearscope,ProcessExec,Deep SVDD,0.7757,0.7448,1.0,0.6923,0.8182,0.9984,0.006
clearscope,ProcessExec,DAE,0.9777,0.5816,1.0,0.5385,0.7,0.9975,0.01
clearscope,ProcessExec,VAE,0.9238,0.0535,0.2,0.0769,0.1111,0.9934,0.0095
clearscope,ProcessExec,Beta-VAE,0.8906,0.0305,0.039,0.6154,0.0734,0.9169,0.009
clearscope,ProcessExec,GMVAE,0.9539,0.5818,1.0,0.5385,0.7,0.9975,0.01
clearscope,ProcessExec,Attention AE,0.9575,0.5819,1.0,0.5385,0.7,0.9975,0.033
clearscope,ProcessExec,LSTMAE,0.9834,0.6771,0.75,0.6923,0.72,0.9971,0.024
clearscope,ProcessExec,Robust,0.9418,0.6859,0.8182,0.6923,0.75,0.9975,0.009
clearscope,ProcessExec,Contractive,0.9575,0.5819,1.0,0.5385,0.7,0.9975,0.009
clearscope,ProcessNetflow,Baseline,0.9429,0.5417,0.8,0.4444,0.5714,0.974,0.006
clearscope,ProcessNetflow,Sparse,0.8063,0.3466,1.0,0.2222,0.3636,0.9697,0.004
clearscope,ProcessNetflow,Deep SVDD,0.99,0.7535,0.875,0.7778,0.8235,0.987,0.004
clearscope,ProcessNetflow,DAE,0.8223,0.3598,1.0,0.2222,0.3636,0.9697,0.004
