Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll_gte_large,Baseline,0.9262,0.0322,0.0462,0.3333,0.0811,0.9696,0.014
5dir,ProcessAll_gte_large,Sparse,0.6223,0.0325,0.0938,0.3333,0.1463,0.9844,0.014
5dir,ProcessAll_gte_large,Deep SVDD,0.9535,0.0576,0.0822,0.6667,0.1463,0.9687,0.006
5dir,ProcessAll_gte_large,DAE,0.8912,0.041,0.0857,0.3333,0.1364,0.983,0.005
5dir,ProcessAll_gte_large,VAE,0.6889,0.0106,0.021,0.3333,0.0395,0.9348,0.008
5dir,ProcessAll_gte_large,Beta-VAE,0.6225,0.0278,0.0698,0.3333,0.1154,0.9794,0.006
5dir,ProcessAll_gte_large,GMVAE,0.7717,0.0334,0.0882,0.3333,0.1395,0.9835,0.006
5dir,ProcessAll_gte_large,Attention AE,0.9313,0.0303,0.0391,1.0,0.0753,0.9013,0.007
5dir,ProcessAll_gte_large,LSTMAE,0.9268,0.0284,0.0354,1.0,0.0684,0.8905,0.006
5dir,ProcessAll_gte_large,Robust,0.9222,0.0298,0.034,0.8889,0.0656,0.8981,0.006
5dir,ProcessAll_gte_large,Contractive,0.6249,0.0321,0.0909,0.3333,0.1429,0.9839,0.005
5dir,ProcessEvent_gte_large,Baseline,0.8953,0.0296,0.05,0.6667,0.093,0.9477,0.006
5dir,ProcessEvent_gte_large,Sparse,0.8314,0.0338,0.0633,0.5556,0.1136,0.9651,0.005
5dir,ProcessEvent_gte_large,Deep SVDD,0.7859,0.0259,0.0444,0.6667,0.0833,0.941,0.005
5dir,ProcessEvent_gte_large,DAE,0.8726,0.0341,0.0581,0.5556,0.1053,0.962,0.005
5dir,ProcessEvent_gte_large,VAE,0.7909,0.0244,0.0577,0.3333,0.0984,0.9754,0.006
5dir,ProcessEvent_gte_large,Beta-VAE,0.7928,0.0318,0.0625,0.3333,0.1053,0.9772,0.01
5dir,ProcessEvent_gte_large,GMVAE,0.8485,0.0337,0.0625,0.5556,0.1124,0.9647,0.006
5dir,ProcessEvent_gte_large,Attention AE,0.848,0.0221,0.0355,0.5556,0.0667,0.9374,0.007
5dir,ProcessEvent_gte_large,LSTMAE,0.8428,0.0201,0.0331,0.4444,0.0615,0.9455,0.008
5dir,ProcessEvent_gte_large,Robust,0.7901,0.0282,0.0455,0.6667,0.0851,0.9424,0.006
5dir,ProcessEvent_gte_large,Contractive,0.7908,0.0335,0.0595,0.5556,0.1075,0.9629,0.005
5dir,ProcessExec_gte_large,Baseline,0.8806,0.2807,0.6667,0.4444,0.5333,0.9969,0.005
5dir,ProcessExec_gte_large,Sparse,0.9293,0.0282,0.0343,0.7778,0.0657,0.9105,0.006
5dir,ProcessExec_gte_large,Deep SVDD,0.8867,0.3725,0.75,0.3333,0.4615,0.9969,0.005
5dir,ProcessExec_gte_large,DAE,0.819,0.0608,0.1017,0.6667,0.1765,0.9748,0.006
5dir,ProcessExec_gte_large,VAE,0.8941,0.0194,0.0256,0.8889,0.0497,0.8623,0.006
5dir,ProcessExec_gte_large,Beta-VAE,0.9287,0.0331,0.0625,0.1111,0.08,0.9897,0.005
5dir,ProcessExec_gte_large,GMVAE,0.933,0.0299,0.0347,1.0,0.0672,0.8875,0.005
5dir,ProcessExec_gte_large,Attention AE,0.8258,0.2518,0.5714,0.4444,0.5,0.9964,0.006
5dir,ProcessExec_gte_large,LSTMAE,0.7467,0.2429,0.5,0.4444,0.4706,0.996,0.006
5dir,ProcessExec_gte_large,Robust,0.8715,0.2305,0.4444,0.4444,0.4444,0.9955,0.005
5dir,ProcessExec_gte_large,Contractive,0.9353,0.0307,0.0377,1.0,0.0726,0.8965,0.005
5dir,ProcessNetflow_gte_large,Baseline,0.9692,0.6778,0.6,0.75,0.6667,0.9565,0.003
5dir,ProcessNetflow_gte_large,Sparse,0.9154,0.6202,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow_gte_large,Deep SVDD,0.9885,0.8042,0.8,1.0,0.8889,0.9855,0.003
5dir,ProcessNetflow_gte_large,DAE,0.9154,0.6202,1.0,0.5,0.6667,0.971,0.005
5dir,ProcessNetflow_gte_large,VAE,0.6462,0.321,1.0,0.25,0.4,0.9565,0.004
5dir,ProcessNetflow_gte_large,Beta-VAE,0.3538,0.0532,0.069,1.0,0.129,0.2174,0.004
5dir,ProcessNetflow_gte_large,GMVAE,0.9154,0.6202,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow_gte_large,Attention AE,0.9192,0.6244,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow_gte_large,LSTMAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.006
5dir,ProcessNetflow_gte_large,Robust,0.95,0.6841,1.0,0.5,0.6667,0.971,0.007
5dir,ProcessNetflow_gte_large,Contractive,0.9115,0.5369,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessParent_gte_large,Baseline,0.892,0.0296,0.0444,0.4444,0.0808,0.9587,0.006
5dir,ProcessParent_gte_large,Sparse,0.7346,0.0107,0.0213,0.1111,0.0357,0.9755,0.005
5dir,ProcessParent_gte_large,Deep SVDD,0.8945,0.0296,0.044,0.4444,0.08,0.9583,0.005
5dir,ProcessParent_gte_large,DAE,0.9303,0.0338,0.0382,0.6667,0.0723,0.9302,0.005
5dir,ProcessParent_gte_large,VAE,0.7877,0.017,0.0288,0.3333,0.0531,0.9515,0.006
5dir,ProcessParent_gte_large,Beta-VAE,0.6686,0.0091,0.0227,0.1111,0.0377,0.9769,0.005
5dir,ProcessParent_gte_large,GMVAE,0.7832,0.0158,0.0292,0.4444,0.0548,0.9374,0.006
5dir,ProcessParent_gte_large,Attention AE,0.675,0.0218,0.0404,0.4444,0.0741,0.9547,0.007
5dir,ProcessParent_gte_large,LSTMAE,0.8692,0.0242,0.0404,0.4444,0.0741,0.9547,0.007
5dir,ProcessParent_gte_large,Robust,0.4713,0.017,0.0388,0.4444,0.0714,0.9529,0.005
5dir,ProcessParent_gte_large,Contractive,0.6802,0.01,0.0213,0.1111,0.0357,0.9755,0.006
cadets,ProcessAll_gte_large,Baseline,0.9992,0.1886,0.2609,0.5455,0.3529,0.9995,0.0513
cadets,ProcessAll_gte_large,Sparse,0.9123,0.0025,0.005,0.1818,0.0098,0.991,0.048
cadets,ProcessAll_gte_large,Deep SVDD,0.6362,0.0384,0.1667,0.2727,0.2069,0.9995,0.0212
cadets,ProcessAll_gte_large,DAE,0.946,0.0027,0.004,0.7273,0.0079,0.9555,0.045
