Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll_jina,Baseline,0.9279,0.0412,0.0606,0.2222,0.0952,0.983,0.016
5dir,ProcessAll_jina,Sparse,0.7159,0.0198,0.0667,0.1111,0.0833,0.9902,0.0215
5dir,ProcessAll_jina,Deep SVDD,0.9466,0.0616,0.1429,0.2222,0.1739,0.9915,0.006
5dir,ProcessAll_jina,DAE,0.8931,0.0284,0.0667,0.1111,0.0833,0.9902,0.01
5dir,ProcessAll_jina,VAE,0.6604,0.0209,0.0667,0.2222,0.1026,0.9844,0.006
5dir,ProcessAll_jina,Beta-VAE,0.6663,0.0173,0.0667,0.1111,0.0833,0.9902,0.005
5dir,ProcessAll_jina,GMVAE,0.8122,0.0222,0.0667,0.1111,0.0833,0.9902,0.005
5dir,ProcessAll_jina,Attention AE,0.9399,0.0366,0.041,0.8889,0.0784,0.916,0.007
5dir,ProcessAll_jina,LSTMAE,0.9365,0.0341,0.0419,0.8889,0.08,0.9178,0.007
5dir,ProcessAll_jina,Robust,0.9354,0.0362,0.0437,0.7778,0.0828,0.9307,0.005
5dir,ProcessAll_jina,Contractive,0.6879,0.0187,0.0625,0.1111,0.08,0.9897,0.005
5dir,ProcessEvent_jina,Baseline,0.8365,0.0178,0.0279,0.7778,0.0538,0.8901,0.005
5dir,ProcessEvent_jina,Sparse,0.8803,0.0299,0.0645,0.4444,0.1127,0.9718,0.0053
5dir,ProcessEvent_jina,Deep SVDD,0.8161,0.0223,0.0328,0.4444,0.0611,0.945,0.005
5dir,ProcessEvent_jina,DAE,0.7359,0.0281,0.0635,0.4444,0.1111,0.9714,0.005
5dir,ProcessEvent_jina,VAE,0.7207,0.0305,0.0625,0.4444,0.1096,0.971,0.006
5dir,ProcessEvent_jina,Beta-VAE,0.6887,0.0285,0.0635,0.4444,0.1111,0.9714,0.005
5dir,ProcessEvent_jina,GMVAE,0.8778,0.0299,0.0645,0.4444,0.1127,0.9718,0.006
5dir,ProcessEvent_jina,Attention AE,0.8589,0.0268,0.0482,0.4444,0.087,0.9625,0.009
5dir,ProcessEvent_jina,LSTMAE,0.8612,0.0292,0.0606,0.4444,0.1067,0.9701,0.006
5dir,ProcessEvent_jina,Robust,0.8954,0.0226,0.0336,0.4444,0.0625,0.9464,0.005
5dir,ProcessEvent_jina,Contractive,0.8089,0.0287,0.0645,0.4444,0.1127,0.9718,0.005
5dir,ProcessExec_jina,Baseline,0.861,0.372,0.6667,0.4444,0.5333,0.9969,0.0055
5dir,ProcessExec_jina,Sparse,0.951,0.0991,0.5,0.1111,0.1818,0.996,0.005
5dir,ProcessExec_jina,Deep SVDD,0.8658,0.3921,0.6667,0.4444,0.5333,0.9969,0.005
5dir,ProcessExec_jina,DAE,0.9309,0.1093,0.1538,0.2222,0.1818,0.9919,0.006
5dir,ProcessExec_jina,VAE,0.9492,0.0787,0.3333,0.1111,0.1667,0.9955,0.0061
5dir,ProcessExec_jina,Beta-VAE,0.9465,0.0775,0.3333,0.1111,0.1667,0.9955,0.005
5dir,ProcessExec_jina,GMVAE,0.9543,0.0996,0.5,0.1111,0.1818,0.996,0.007
5dir,ProcessExec_jina,Attention AE,0.8033,0.4053,0.8,0.4444,0.5714,0.9973,0.0065
5dir,ProcessExec_jina,LSTMAE,0.8745,0.331,0.75,0.3333,0.4615,0.9969,0.006
5dir,ProcessExec_jina,Robust,0.8874,0.2739,0.75,0.3333,0.4615,0.9969,0.0062
5dir,ProcessExec_jina,Contractive,0.9516,0.0985,0.5,0.1111,0.1818,0.996,0.006
5dir,ProcessNetflow_jina,Baseline,0.8615,0.206,0.2667,1.0,0.4211,0.8406,0.005
5dir,ProcessNetflow_jina,Sparse,0.8615,0.206,0.2667,1.0,0.4211,0.8406,0.005
5dir,ProcessNetflow_jina,Deep SVDD,0.9385,0.6604,1.0,0.5,0.6667,0.971,0.0041
5dir,ProcessNetflow_jina,DAE,0.8538,0.198,0.2667,1.0,0.4211,0.8406,0.005
5dir,ProcessNetflow_jina,VAE,0.5269,0.0806,0.1111,0.75,0.1935,0.6377,0.005
5dir,ProcessNetflow_jina,Beta-VAE,0.5077,0.0804,0.1111,0.25,0.1538,0.8406,0.0035
5dir,ProcessNetflow_jina,GMVAE,0.8538,0.2827,0.2143,0.75,0.3333,0.8261,0.004
5dir,ProcessNetflow_jina,Attention AE,0.8692,0.2149,0.2667,1.0,0.4211,0.8406,0.004
5dir,ProcessNetflow_jina,LSTMAE,0.8615,0.206,0.2667,1.0,0.4211,0.8406,0.004
5dir,ProcessNetflow_jina,Robust,0.8846,0.2404,0.2667,1.0,0.4211,0.8406,0.004
5dir,ProcessNetflow_jina,Contractive,0.8462,0.1902,0.2353,1.0,0.381,0.8116,0.004
5dir,ProcessParent_jina,Baseline,0.9029,0.0275,0.0404,0.4444,0.0741,0.9547,0.006
5dir,ProcessParent_jina,Sparse,0.7382,0.021,0.0381,0.4444,0.0702,0.9519,0.005
5dir,ProcessParent_jina,Deep SVDD,0.8188,0.028,0.0449,0.4444,0.0816,0.9592,0.0055
5dir,ProcessParent_jina,DAE,0.9203,0.0292,0.0367,0.4444,0.0678,0.9501,0.005
5dir,ProcessParent_jina,VAE,0.6876,0.0135,0.0305,0.4444,0.0571,0.9402,0.007
5dir,ProcessParent_jina,Beta-VAE,0.7016,0.0138,0.0278,0.4444,0.0523,0.9343,0.007
5dir,ProcessParent_jina,GMVAE,0.7382,0.021,0.0381,0.4444,0.0702,0.9519,0.006
5dir,ProcessParent_jina,Attention AE,0.8918,0.0275,0.0382,0.6667,0.0723,0.9302,0.0075
5dir,ProcessParent_jina,LSTMAE,0.8919,0.0275,0.0382,0.6667,0.0723,0.9302,0.006
5dir,ProcessParent_jina,Robust,0.7047,0.0175,0.036,0.4444,0.0667,0.9492,0.006
