Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.6524,0.0158,0.037,0.1111,0.0556,0.9848,0.1289
5dir,ProcessAll,Sparse,0.5955,0.007,0.0109,0.2222,0.0207,0.9155,0.011
5dir,ProcessAll,Deep SVDD,0.5951,0.0173,0.0342,0.4444,0.0635,0.9473,0.009
5dir,ProcessAll,DAE,0.528,0.01,0.0476,0.1111,0.0667,0.9875,0.0125
5dir,ProcessAll,VAE,0.6713,0.0101,0.0175,0.1111,0.0303,0.9714,0.022
5dir,ProcessAll,Beta-VAE,0.5366,0.0056,0.008,0.2222,0.0154,0.8856,0.012
5dir,ProcessAll,GMVAE,0.5821,0.0068,0.0109,0.2222,0.0207,0.9155,0.0145
5dir,ProcessAll,Attention AE,0.5551,0.011,0.04,0.2222,0.0678,0.9754,0.041
5dir,ProcessAll,LSTMAE,0.6533,0.0179,0.0667,0.1111,0.0833,0.9902,0.042
5dir,ProcessAll,Robust,0.642,0.0197,0.0667,0.1111,0.0833,0.9902,0.008
5dir,ProcessAll,Contractive,0.6014,0.0071,0.0109,0.2222,0.0207,0.9155,0.01
5dir,ProcessEvent,Baseline,0.8884,0.0207,0.0241,0.6667,0.0465,0.8901,0.011
5dir,ProcessEvent,Sparse,0.6371,0.0079,0.0179,0.1111,0.0308,0.9718,0.0101
5dir,ProcessEvent,Deep SVDD,0.8053,0.0183,0.0275,0.5556,0.0524,0.9191,0.006
5dir,ProcessEvent,DAE,0.7122,0.0206,0.125,0.1111,0.1176,0.9933,0.009
5dir,ProcessEvent,VAE,0.6175,0.0061,0.0081,0.1111,0.0152,0.9419,0.009
5dir,ProcessEvent,Beta-VAE,0.5905,0.0057,0.0072,0.1111,0.0136,0.9352,0.01
5dir,ProcessEvent,GMVAE,0.6767,0.0085,0.0175,0.1111,0.0303,0.9714,0.009
5dir,ProcessEvent,Attention AE,0.6706,0.0083,0.0175,0.1111,0.0303,0.9714,0.034
5dir,ProcessEvent,LSTMAE,0.8673,0.0174,0.0233,0.6667,0.0449,0.8861,0.0246
5dir,ProcessEvent,Robust,0.8103,0.0145,0.0222,0.1111,0.037,0.9768,0.009
5dir,ProcessEvent,Contractive,0.6523,0.0079,0.0175,0.1111,0.0303,0.9714,0.009
5dir,ProcessExec,Baseline,0.2729,0.0101,0.0588,0.1111,0.0769,0.9892,0.013
5dir,ProcessExec,Sparse,0.2308,0.0037,0.004,1.0,0.0081,0.004,0.01
5dir,ProcessExec,Deep SVDD,0.7153,0.0195,0.1111,0.1111,0.1111,0.9928,0.007
5dir,ProcessExec,DAE,0.2661,0.0043,0.0065,0.1111,0.0123,0.928,0.009
5dir,ProcessExec,VAE,0.5434,0.0074,0.0152,0.2222,0.0284,0.9384,0.011
5dir,ProcessExec,Beta-VAE,0.3614,0.004,0.0072,0.2222,0.0139,0.8727,0.0125
5dir,ProcessExec,GMVAE,0.2308,0.0037,0.004,1.0,0.0081,0.004,0.008
5dir,ProcessExec,Attention AE,0.2311,0.0037,0.004,1.0,0.0081,0.004,0.0348
5dir,ProcessExec,LSTMAE,0.2726,0.0082,0.0417,0.1111,0.0606,0.9861,0.025
5dir,ProcessExec,Robust,0.2727,0.0086,0.0455,0.1111,0.0645,0.987,0.009
5dir,ProcessExec,Contractive,0.2308,0.0037,0.004,1.0,0.0081,0.004,0.011
5dir,ProcessNetflow,Baseline,0.7192,0.404,0.5,0.5,0.5,0.942,0.006
5dir,ProcessNetflow,Sparse,0.7115,0.254,0.4,0.5,0.4444,0.9275,0.005
5dir,ProcessNetflow,Deep SVDD,0.7462,0.447,0.6667,0.5,0.5714,0.9565,0.0045
5dir,ProcessNetflow,DAE,0.7423,0.4053,0.5,0.5,0.5,0.942,0.004
5dir,ProcessNetflow,VAE,0.4962,0.2983,1.0,0.25,0.4,0.9565,0.004
5dir,ProcessNetflow,Beta-VAE,0.6615,0.3475,1.0,0.25,0.4,0.9565,0.005
5dir,ProcessNetflow,GMVAE,0.7154,0.379,0.4,0.5,0.4444,0.9275,0.004
5dir,ProcessNetflow,Attention AE,0.7154,0.379,0.4,0.5,0.4444,0.9275,0.008
5dir,ProcessNetflow,LSTMAE,0.7423,0.4053,0.5,0.5,0.5,0.942,0.011
5dir,ProcessNetflow,Robust,0.7385,0.2803,0.5,0.5,0.5,0.942,0.004
5dir,ProcessNetflow,Contractive,0.7115,0.254,0.4,0.5,0.4444,0.9275,0.004
5dir,ProcessParent,Baseline,0.5546,0.0088,0.0256,0.1111,0.0417,0.9791,0.01
5dir,ProcessParent,Sparse,0.8962,0.0216,0.0227,0.7778,0.0442,0.8626,0.0085
5dir,ProcessParent,Deep SVDD,0.4279,0.0051,0.0057,0.8889,0.0114,0.3685,0.006
5dir,ProcessParent,DAE,0.3674,0.0057,0.0145,0.1111,0.0256,0.9655,0.0095
5dir,ProcessParent,VAE,0.7516,0.009,0.0118,1.0,0.0233,0.6587,0.009
5dir,ProcessParent,Beta-VAE,0.7382,0.0081,0.0106,0.7778,0.0209,0.7031,0.01
5dir,ProcessParent,GMVAE,0.8961,0.0216,0.0227,0.7778,0.0442,0.8626,0.012
5dir,ProcessParent,Attention AE,0.8938,0.0215,0.0227,0.7778,0.0442,0.8626,0.037
5dir,ProcessParent,LSTMAE,0.1974,0.006,0.0238,0.1111,0.0392,0.9778,0.0244
5dir,ProcessParent,Robust,0.6192,0.0091,0.0196,0.1111,0.0333,0.9737,0.0095
5dir,ProcessParent,Contractive,0.8944,0.0215,0.0227,0.7778,0.0442,0.8626,0.009
cadets,ProcessAll,Baseline,0.9236,0.0181,0.0455,0.1818,0.0727,0.9989,0.1231
cadets,ProcessAll,Sparse,0.5731,0.0003,0.0005,0.9091,0.0009,0.5137,0.1104
cadets,ProcessAll,Deep SVDD,0.4998,0.0002,0.0002,1.0,0.0005,0.0004,0.0493
cadets,ProcessAll,DAE,0.8281,0.001,0.0015,0.9091,0.0029,0.8493,0.1122
cadets,ProcessAll,VAE,0.5525,0.0003,0.0005,0.1818,0.0011,0.9183,0.1105
cadets,ProcessAll,Beta-VAE,0.6088,0.0003,0.0005,0.9091,0.0009,0.5089,0.1249
cadets,ProcessAll,GMVAE,0.5779,0.0003,0.0005,0.9091,0.0009,0.5211,0.111
cadets,ProcessAll,Attention AE,0.5831,0.0003,0.0005,0.9091,0.0009,0.5247,0.581
cadets,ProcessAll,LSTMAE,0.9211,0.0116,0.0227,0.1818,0.0404,0.9979,0.7772
cadets,ProcessAll,Robust,0.919,0.0095,0.02,0.1818,0.036,0.9976,0.1111
cadets,ProcessAll,Contractive,0.5696,0.0003,0.0005,0.9091,0.0009,0.513,0.1063
cadets,ProcessEvent,Baseline,0.8413,0.004,0.0161,0.0909,0.0274,0.9984,0.108
cadets,ProcessEvent,Sparse,0.8115,0.0013,0.002,0.3636,0.004,0.9562,0.109
cadets,ProcessEvent,Deep SVDD,0.4998,0.0002,0.0002,1.0,0.0005,0.0003,0.048
cadets,ProcessEvent,DAE,0.822,0.0016,0.0041,0.0909,0.0078,0.9943,0.1115
cadets,ProcessEvent,VAE,0.7855,0.0011,0.0018,0.3636,0.0036,0.9514,0.117
cadets,ProcessEvent,Beta-VAE,0.8451,0.0015,0.0022,0.1818,0.0043,0.9794,0.1147
cadets,ProcessEvent,GMVAE,0.8142,0.0013,0.0023,0.4545,0.0046,0.952,0.1135
cadets,ProcessEvent,Attention AE,0.811,0.0012,0.0021,0.0909,0.0041,0.9892,0.5699
cadets,ProcessEvent,LSTMAE,0.8451,0.0028,0.0099,0.0909,0.0179,0.9976,0.794
cadets,ProcessEvent,Robust,0.8499,0.0038,0.0147,0.0909,0.0253,0.9983,0.1085
cadets,ProcessEvent,Contractive,0.8126,0.0013,0.0018,0.4545,0.0036,0.9382,0.1086
cadets,ProcessExec,Baseline,0.8762,0.1746,0.3333,0.1818,0.2353,0.9997,0.1116
cadets,ProcessExec,Sparse,0.7943,0.0008,0.001,0.1818,0.0021,0.9566,0.11
cadets,ProcessExec,Deep SVDD,0.7272,0.3059,0.625,0.4545,0.5263,0.9998,0.051
cadets,ProcessExec,DAE,0.8942,0.0041,0.0127,0.1818,0.0237,0.9963,0.1079
cadets,ProcessExec,VAE,0.8131,0.0008,0.0011,0.1818,0.0022,0.9591,0.112
cadets,ProcessExec,Beta-VAE,0.7932,0.0007,0.0011,0.1818,0.0021,0.9579,0.1144
cadets,ProcessExec,GMVAE,0.8055,0.0008,0.001,0.1818,0.0021,0.9566,0.1131
