Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll_llama3_manual,Baseline,0.9266,0.1735,0.2,0.3333,0.25,0.992,0.019
5dir,ProcessAll_llama3_manual,Sparse,0.8861,0.1782,0.2727,0.3333,0.3,0.9937,0.01
5dir,ProcessAll_llama3_manual,Deep SVDD,0.9608,0.1395,0.3,0.3333,0.3158,0.9942,0.007
5dir,ProcessAll_llama3_manual,DAE,0.7447,0.1728,0.25,0.3333,0.2857,0.9933,0.009
5dir,ProcessAll_llama3_manual,VAE,0.8689,0.1545,1.0,0.1111,0.2,0.9964,0.01
5dir,ProcessAll_llama3_manual,Beta-VAE,0.7663,0.1375,1.0,0.1111,0.2,0.9964,0.01
5dir,ProcessAll_llama3_manual,GMVAE,0.9038,0.1832,0.2727,0.3333,0.3,0.9937,0.0105
5dir,ProcessAll_llama3_manual,Attention AE,0.8957,0.1808,0.2727,0.3333,0.3,0.9937,0.0344
5dir,ProcessAll_llama3_manual,LSTMAE,0.937,0.3532,1.0,0.3333,0.5,0.9973,0.024
5dir,ProcessAll_llama3_manual,Robust,0.948,0.2034,0.2727,0.3333,0.3,0.9937,0.0105
5dir,ProcessAll_llama3_manual,Contractive,0.9045,0.1844,0.2727,0.3333,0.3,0.9937,0.0114
5dir,ProcessEvent_llama3_manual,Baseline,0.8639,0.0202,0.0342,0.4444,0.0635,0.9473,0.0094
5dir,ProcessEvent_llama3_manual,Sparse,0.7764,0.0273,0.0548,0.4444,0.0976,0.9669,0.009
5dir,ProcessEvent_llama3_manual,Deep SVDD,0.8728,0.0348,0.0625,0.3333,0.1053,0.9772,0.007
5dir,ProcessEvent_llama3_manual,DAE,0.8532,0.0491,0.0909,0.3333,0.1429,0.9839,0.0141
5dir,ProcessEvent_llama3_manual,VAE,0.6323,0.007,0.0115,0.1111,0.0208,0.958,0.01
5dir,ProcessEvent_llama3_manual,Beta-VAE,0.6592,0.0076,0.013,0.1111,0.0233,0.9625,0.011
5dir,ProcessEvent_llama3_manual,GMVAE,0.8199,0.0284,0.0571,0.4444,0.1013,0.9683,0.009
