Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.956,0.0523,0.0811,0.3333,0.1304,0.9821,0.048
5dir,ProcessAll,Sparse,0.923,0.1185,0.1304,0.3333,0.1875,0.9884,0.006
5dir,ProcessAll,Deep SVDD,0.9612,0.0671,0.1154,0.3333,0.1714,0.987,0.004
5dir,ProcessAll,DAE,0.9316,0.168,1.0,0.1111,0.2,0.9964,0.005
5dir,ProcessAll,VAE,0.8688,0.0701,0.2,0.2222,0.2105,0.9933,0.006
5dir,ProcessAll,Beta-VAE,0.9212,0.0807,0.1429,0.3333,0.2,0.9893,0.005
5dir,ProcessAll,GMVAE,0.9297,0.0771,0.1304,0.3333,0.1875,0.9884,0.005
5dir,ProcessAll,Attention AE,0.9665,0.202,0.2308,0.3333,0.2727,0.9929,0.007
5dir,ProcessAll,LSTMAE,0.9629,0.1858,0.1667,0.3333,0.2222,0.9906,0.006
5dir,ProcessAll,Robust,0.9658,0.0643,0.0789,0.3333,0.1277,0.9817,0.006
5dir,ProcessAll,Contractive,0.9229,0.1224,0.1765,0.3333,0.2308,0.9911,0.005
5dir,ProcessEvent,Baseline,0.8795,0.0219,0.0373,0.6667,0.0706,0.9294,0.006
5dir,ProcessEvent,Sparse,0.6812,0.0266,0.0571,0.4444,0.1013,0.9683,0.005
5dir,ProcessEvent,Deep SVDD,0.8974,0.0317,0.05,0.5556,0.0917,0.9558,0.005
5dir,ProcessEvent,DAE,0.6968,0.0227,0.0482,0.4444,0.087,0.9625,0.0073
5dir,ProcessEvent,VAE,0.6815,0.0189,0.0417,0.4444,0.0762,0.9567,0.007
5dir,ProcessEvent,Beta-VAE,0.7839,0.0276,0.0575,0.5556,0.1042,0.9616,0.005
5dir,ProcessEvent,GMVAE,0.6898,0.0265,0.0563,0.4444,0.1,0.9678,0.006
5dir,ProcessEvent,Attention AE,0.8848,0.0253,0.0417,0.3333,0.0741,0.9665,0.007
5dir,ProcessEvent,LSTMAE,0.8869,0.026,0.0395,0.3333,0.0706,0.9647,0.007
5dir,ProcessEvent,Robust,0.8611,0.0218,0.0339,0.6667,0.0645,0.9223,0.005
5dir,ProcessEvent,Contractive,0.6981,0.0253,0.0556,0.4444,0.0988,0.9674,0.006
5dir,ProcessExec,Baseline,0.8266,0.2376,0.75,0.3333,0.4615,0.9969,0.006
5dir,ProcessExec,Sparse,0.9479,0.2101,0.2222,0.4444,0.2963,0.9915,0.006
5dir,ProcessExec,Deep SVDD,0.8941,0.2042,0.3077,0.4444,0.3636,0.9937,0.005
5dir,ProcessExec,DAE,0.9556,0.3056,1.0,0.2222,0.3636,0.9969,0.006
5dir,ProcessExec,VAE,0.9407,0.1596,0.3333,0.2222,0.2667,0.9951,0.006
5dir,ProcessExec,Beta-VAE,0.9226,0.2242,0.5,0.2222,0.3077,0.996,0.006
5dir,ProcessExec,GMVAE,0.9393,0.2609,0.5,0.3333,0.4,0.996,0.005
5dir,ProcessExec,Attention AE,0.8354,0.2705,0.5,0.3333,0.4,0.996,0.007
5dir,ProcessExec,LSTMAE,0.8337,0.271,0.3333,0.4444,0.381,0.9942,0.007
5dir,ProcessExec,Robust,0.9212,0.3068,0.5,0.3333,0.4,0.996,0.006
5dir,ProcessExec,Contractive,0.9402,0.2616,0.5,0.3333,0.4,0.996,0.006
5dir,ProcessNetflow,Baseline,0.9692,0.7321,0.5,1.0,0.6667,0.942,0.004
5dir,ProcessNetflow,Sparse,0.9231,0.6292,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Deep SVDD,0.9654,0.6951,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,DAE,0.9423,0.6652,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,VAE,0.3885,0.058,0.0714,0.75,0.1304,0.4203,0.004
5dir,ProcessNetflow,Beta-VAE,0.7077,0.1123,0.129,1.0,0.2286,0.6087,0.004
5dir,ProcessNetflow,GMVAE,0.9154,0.6202,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Attention AE,0.9192,0.6244,1.0,0.5,0.6667,0.971,0.005
5dir,ProcessNetflow,LSTMAE,0.9654,0.7183,1.0,0.5,0.6667,0.971,0.0045
5dir,ProcessNetflow,Robust,0.9462,0.6917,1.0,0.5,0.6667,0.971,0.005
5dir,ProcessNetflow,Contractive,0.9231,0.6292,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessParent,Baseline,0.8127,0.0222,0.0414,0.6667,0.0779,0.9356,0.005
5dir,ProcessParent,Sparse,0.6027,0.0612,0.1875,0.3333,0.24,0.9914,0.005
5dir,ProcessParent,Deep SVDD,0.9145,0.0284,0.0382,0.6667,0.0723,0.9302,0.005
5dir,ProcessParent,DAE,0.8839,0.0622,0.1667,0.3333,0.2222,0.9905,0.005
5dir,ProcessParent,VAE,0.6324,0.0137,0.0423,0.3333,0.075,0.9665,0.005
5dir,ProcessParent,Beta-VAE,0.6709,0.0616,0.2143,0.3333,0.2609,0.9923,0.005
5dir,ProcessParent,GMVAE,0.759,0.063,0.1875,0.3333,0.24,0.9914,0.006
5dir,ProcessParent,Attention AE,0.8976,0.0382,0.0682,0.3333,0.1132,0.9787,0.006
5dir,ProcessParent,LSTMAE,0.9046,0.0383,0.0638,0.3333,0.1071,0.9773,0.008
5dir,ProcessParent,Robust,0.8099,0.0245,0.0408,0.6667,0.0769,0.9347,0.006
5dir,ProcessParent,Contractive,0.6779,0.0616,0.1875,0.3333,0.24,0.9914,0.005
cadets,ProcessAll,Baseline,0.9971,0.0595,0.1111,0.2727,0.1579,0.9993,0.0504
cadets,ProcessAll,Sparse,0.9105,0.0026,0.0064,0.0909,0.0119,0.9963,0.0515
