Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9431,0.0534,0.0746,0.5556,0.1316,0.9705,0.008
5dir,ProcessAll,Sparse,0.7173,0.0642,0.1538,0.4444,0.2286,0.9879,0.008
5dir,ProcessAll,Deep SVDD,0.9586,0.0962,0.1333,0.4444,0.2051,0.9861,0.006
5dir,ProcessAll,DAE,0.9418,0.0556,0.0926,0.5556,0.1587,0.9763,0.011
5dir,ProcessAll,VAE,0.7035,0.0701,0.1875,0.3333,0.24,0.9915,0.009
5dir,ProcessAll,Beta-VAE,0.7189,0.064,0.1379,0.4444,0.2105,0.9866,0.006
5dir,ProcessAll,GMVAE,0.7117,0.0635,0.1538,0.4444,0.2286,0.9879,0.005
5dir,ProcessAll,Attention AE,0.9439,0.0424,0.0455,0.4444,0.0825,0.9602,0.007
5dir,ProcessAll,LSTMAE,0.9386,0.0411,0.0833,0.1111,0.0952,0.9915,0.006
5dir,ProcessAll,Robust,0.9289,0.0416,0.1111,0.1111,0.1111,0.9929,0.006
5dir,ProcessAll,Contractive,0.7063,0.0636,0.1481,0.4444,0.2222,0.9875,0.006
5dir,ProcessEvent,Baseline,0.8685,0.0285,0.0488,0.6667,0.0909,0.9464,0.005
5dir,ProcessEvent,Sparse,0.7541,0.0247,0.0556,0.4444,0.0988,0.9674,0.006
5dir,ProcessEvent,Deep SVDD,0.6426,0.0148,0.033,0.3333,0.06,0.958,0.005
5dir,ProcessEvent,DAE,0.7547,0.0244,0.0548,0.4444,0.0976,0.9669,0.006
5dir,ProcessEvent,VAE,0.7152,0.0224,0.0488,0.4444,0.0879,0.9629,0.006
5dir,ProcessEvent,Beta-VAE,0.777,0.0292,0.069,0.4444,0.1194,0.9736,0.006
5dir,ProcessEvent,GMVAE,0.7583,0.0256,0.0556,0.3333,0.0952,0.9745,0.006
5dir,ProcessEvent,Attention AE,0.8414,0.0195,0.0283,0.7778,0.0547,0.8919,0.006
5dir,ProcessEvent,LSTMAE,0.8584,0.0185,0.0294,0.4444,0.0552,0.9388,0.006
5dir,ProcessEvent,Robust,0.7514,0.0253,0.0488,0.6667,0.0909,0.9464,0.005
5dir,ProcessEvent,Contractive,0.7574,0.0258,0.0533,0.4444,0.0952,0.966,0.005
5dir,ProcessExec,Baseline,0.8993,0.2878,0.5714,0.4444,0.5,0.9964,0.005
5dir,ProcessExec,Sparse,0.9506,0.0798,0.2143,0.3333,0.2609,0.9924,0.005
5dir,ProcessExec,Deep SVDD,0.8377,0.2653,0.6667,0.4444,0.5333,0.9969,0.004
5dir,ProcessExec,DAE,0.8401,0.2564,1.0,0.2222,0.3636,0.9969,0.007
5dir,ProcessExec,VAE,0.9258,0.0414,0.0833,0.4444,0.1404,0.978,0.006
5dir,ProcessExec,Beta-VAE,0.9524,0.0896,0.1739,0.4444,0.25,0.9892,0.0055
5dir,ProcessExec,GMVAE,0.9467,0.0787,0.2143,0.3333,0.2609,0.9924,0.005
5dir,ProcessExec,Attention AE,0.8992,0.2525,0.5714,0.4444,0.5,0.9964,0.006
5dir,ProcessExec,LSTMAE,0.8651,0.3145,0.5714,0.4444,0.5,0.9964,0.0081
5dir,ProcessExec,Robust,0.911,0.3265,0.4444,0.4444,0.4444,0.9955,0.006
5dir,ProcessExec,Contractive,0.95,0.0781,0.2143,0.3333,0.2609,0.9924,0.006
5dir,ProcessNetflow,Baseline,0.9538,0.5561,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,Sparse,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Deep SVDD,0.9462,0.5458,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,DAE,0.9385,0.5042,0.6,0.75,0.6667,0.9565,0.005
5dir,ProcessNetflow,VAE,0.3692,0.0548,0.069,1.0,0.129,0.2174,0.003
5dir,ProcessNetflow,Beta-VAE,0.4346,0.061,0.0732,0.75,0.1333,0.4348,0.004
5dir,ProcessNetflow,GMVAE,0.9154,0.6202,1.0,0.5,0.6667,0.971,0.005
5dir,ProcessNetflow,Attention AE,0.9423,0.5083,0.6,0.75,0.6667,0.9565,0.004
5dir,ProcessNetflow,LSTMAE,0.9308,0.4613,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Robust,0.9692,0.5903,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,Contractive,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessParent,Baseline,0.9234,0.0304,0.0408,0.4444,0.0748,0.9551,0.005
5dir,ProcessParent,Sparse,0.6854,0.015,0.0286,0.4444,0.0537,0.9361,0.006
5dir,ProcessParent,Deep SVDD,0.8116,0.0236,0.04,0.4444,0.0734,0.9542,0.004
5dir,ProcessParent,DAE,0.8509,0.0247,0.0373,0.6667,0.0706,0.9284,0.005
5dir,ProcessParent,VAE,0.6445,0.0077,0.0152,0.1111,0.0267,0.9669,0.009
5dir,ProcessParent,Beta-VAE,0.7171,0.012,0.0195,0.3333,0.0368,0.9288,0.006
5dir,ProcessParent,GMVAE,0.8952,0.023,0.0314,0.6667,0.06,0.9148,0.005
5dir,ProcessParent,Attention AE,0.9442,0.0399,0.0506,0.4444,0.0909,0.9637,0.005
5dir,ProcessParent,LSTMAE,0.8968,0.0286,0.0404,0.4444,0.0741,0.9547,0.006
5dir,ProcessParent,Robust,0.5336,0.0141,0.0296,0.4444,0.0556,0.9383,0.006
5dir,ProcessParent,Contractive,0.6547,0.0096,0.0213,0.1111,0.0357,0.9755,0.006
cadets,ProcessAll,Baseline,0.9989,0.1303,0.2105,0.3636,0.2667,0.9995,0.043
cadets,ProcessAll,Sparse,0.8975,0.0014,0.0021,0.9091,0.0041,0.893,0.043
cadets,ProcessAll,Deep SVDD,0.5906,0.0123,0.0833,0.1818,0.1143,0.9993,0.021
cadets,ProcessAll,DAE,0.9761,0.0061,0.0103,0.1818,0.0195,0.9955,0.0384
cadets,ProcessAll,VAE,0.8981,0.0014,0.0019,0.9091,0.0039,0.8856,0.041
cadets,ProcessAll,Beta-VAE,0.8967,0.0014,0.0021,0.9091,0.0042,0.8937,0.043
cadets,ProcessAll,GMVAE,0.8397,0.0008,0.001,0.5455,0.002,0.8665,0.044
cadets,ProcessAll,Attention AE,0.899,0.0014,0.0022,0.9091,0.0043,0.8971,0.049
cadets,ProcessAll,LSTMAE,0.9985,0.1278,0.2222,0.5455,0.3158,0.9994,0.043
cadets,ProcessAll,Robust,0.9983,0.1089,0.1875,0.5455,0.2791,0.9993,0.038
cadets,ProcessAll,Contractive,0.8984,0.0014,0.0021,0.9091,0.0042,0.8937,0.0383
cadets,ProcessEvent,Baseline,0.87,0.0021,0.0051,0.2727,0.01,0.9868,0.037
cadets,ProcessEvent,Sparse,0.7467,0.0006,0.0008,0.6364,0.0016,0.8104,0.036
cadets,ProcessEvent,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0003,0.018
cadets,ProcessEvent,DAE,0.7424,0.0005,0.0008,0.7273,0.0015,0.7681,0.0371
cadets,ProcessEvent,VAE,0.7558,0.0006,0.0009,0.7273,0.0019,0.8087,0.042
cadets,ProcessEvent,Beta-VAE,0.7492,0.0006,0.0009,0.6364,0.0018,0.8236,0.042
cadets,ProcessEvent,GMVAE,0.9001,0.0024,0.0052,0.2727,0.0102,0.9871,0.043
cadets,ProcessEvent,Attention AE,0.7578,0.0006,0.0009,0.7273,0.0018,0.803,0.048
cadets,ProcessEvent,LSTMAE,0.8779,0.0014,0.0024,0.2727,0.0047,0.9717,0.0423
cadets,ProcessEvent,Robust,0.8817,0.0022,0.005,0.2727,0.0098,0.9864,0.036
cadets,ProcessEvent,Contractive,0.7573,0.0006,0.001,0.7273,0.0019,0.8142,0.0376
cadets,ProcessExec,Baseline,0.9996,0.6768,1.0,0.5455,0.7059,0.9999,0.036
cadets,ProcessExec,Sparse,0.9229,0.0019,0.003,0.7273,0.0059,0.9398,0.035
cadets,ProcessExec,Deep SVDD,0.8181,0.4137,0.5,0.6364,0.56,0.9998,0.019
cadets,ProcessExec,DAE,0.9988,0.234,0.3684,0.6364,0.4667,0.9996,0.034
cadets,ProcessExec,VAE,0.922,0.0018,0.0028,0.7273,0.0055,0.9353,0.0431
cadets,ProcessExec,Beta-VAE,0.9192,0.0017,0.0027,0.7273,0.0053,0.9329,0.039
cadets,ProcessExec,GMVAE,0.9996,0.5784,0.6364,0.6364,0.6364,0.9998,0.044
cadets,ProcessExec,Attention AE,0.9223,0.0019,0.003,0.7273,0.0059,0.9398,0.048
cadets,ProcessExec,LSTMAE,0.9988,0.6192,0.7778,0.6364,0.7,0.9999,0.042
cadets,ProcessExec,Robust,0.9993,0.5797,0.6364,0.6364,0.6364,0.9998,0.036
cadets,ProcessExec,Contractive,0.919,0.0019,0.003,0.7273,0.0059,0.9398,0.0347
cadets,ProcessNetflow,Baseline,0.941,0.5024,0.36,0.9,0.5143,0.998,0.009
cadets,ProcessNetflow,Sparse,0.8598,0.0056,0.0084,0.8,0.0166,0.8894,0.011
