Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9424,0.0708,0.3333,0.1111,0.1667,0.9955,0.0464
5dir,ProcessAll,Sparse,0.8674,0.0751,0.2308,0.3333,0.2727,0.9929,0.005
5dir,ProcessAll,Deep SVDD,0.9574,0.0829,0.1818,0.2222,0.2,0.9929,0.005
5dir,ProcessAll,DAE,0.906,0.0741,0.2143,0.3333,0.2609,0.9924,0.006
5dir,ProcessAll,VAE,0.8545,0.0683,0.1875,0.3333,0.24,0.9915,0.005
5dir,ProcessAll,Beta-VAE,0.8229,0.0674,0.2,0.3333,0.25,0.992,0.0051
5dir,ProcessAll,GMVAE,0.8708,0.0767,0.2308,0.3333,0.2727,0.9929,0.005
5dir,ProcessAll,Attention AE,0.9396,0.0682,0.3333,0.1111,0.1667,0.9955,0.007
5dir,ProcessAll,LSTMAE,0.9383,0.0683,0.3333,0.1111,0.1667,0.9955,0.007
5dir,ProcessAll,Robust,0.9464,0.0737,0.3333,0.1111,0.1667,0.9955,0.006
5dir,ProcessAll,Contractive,0.8216,0.0678,0.2143,0.3333,0.2609,0.9924,0.005
5dir,ProcessEvent,Baseline,0.8799,0.0216,0.0347,0.6667,0.0659,0.924,0.005
5dir,ProcessEvent,Sparse,0.8132,0.0279,0.0597,0.4444,0.1053,0.9696,0.005
5dir,ProcessEvent,Deep SVDD,0.8838,0.0235,0.0329,0.5556,0.0621,0.9325,0.006
5dir,ProcessEvent,DAE,0.8592,0.0309,0.0597,0.4444,0.1053,0.9696,0.0061
5dir,ProcessEvent,VAE,0.7676,0.0287,0.0597,0.4444,0.1053,0.9696,0.006
5dir,ProcessEvent,Beta-VAE,0.8017,0.0267,0.0563,0.4444,0.1,0.9678,0.006
5dir,ProcessEvent,GMVAE,0.8053,0.0312,0.0682,0.3333,0.1132,0.979,0.005
5dir,ProcessEvent,Attention AE,0.877,0.0208,0.0287,0.7778,0.0553,0.8932,0.006
5dir,ProcessEvent,LSTMAE,0.8719,0.0196,0.028,0.3333,0.0517,0.9508,0.0084
5dir,ProcessEvent,Robust,0.8893,0.0258,0.0413,0.5556,0.0769,0.9464,0.005
5dir,ProcessEvent,Contractive,0.7974,0.027,0.0597,0.4444,0.1053,0.9696,0.0045
5dir,ProcessExec,Baseline,0.8366,0.2397,0.6667,0.2222,0.3333,0.9964,0.005
5dir,ProcessExec,Sparse,0.8609,0.0825,0.25,0.3333,0.2857,0.9933,0.006
5dir,ProcessExec,Deep SVDD,0.8465,0.2065,0.3636,0.4444,0.4,0.9946,0.004
5dir,ProcessExec,DAE,0.8965,0.0795,0.2308,0.3333,0.2727,0.9928,0.005
5dir,ProcessExec,VAE,0.8779,0.069,0.2,0.3333,0.25,0.9919,0.006
5dir,ProcessExec,Beta-VAE,0.8846,0.0822,0.2143,0.3333,0.2609,0.9924,0.006
5dir,ProcessExec,GMVAE,0.8559,0.0706,0.2,0.3333,0.25,0.9919,0.006
5dir,ProcessExec,Attention AE,0.8564,0.075,0.2,0.3333,0.25,0.9919,0.007
5dir,ProcessExec,LSTMAE,0.8742,0.2092,0.4,0.2222,0.2857,0.9955,0.007
5dir,ProcessExec,Robust,0.7594,0.1975,0.3333,0.2222,0.2667,0.9951,0.005
5dir,ProcessExec,Contractive,0.8439,0.0685,0.1875,0.3333,0.24,0.9915,0.005
5dir,ProcessNetflow,Baseline,0.9462,0.4821,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Sparse,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.0063
5dir,ProcessNetflow,Deep SVDD,0.9769,0.622,0.75,0.75,0.75,0.971,0.003
5dir,ProcessNetflow,DAE,0.9192,0.5458,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,VAE,0.7846,0.1455,0.1739,1.0,0.2963,0.7246,0.004
5dir,ProcessNetflow,Beta-VAE,0.5038,0.0745,0.1,0.5,0.1667,0.7101,0.004
5dir,ProcessNetflow,GMVAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Attention AE,0.95,0.6,0.4,1.0,0.5714,0.913,0.0054
5dir,ProcessNetflow,LSTMAE,0.9192,0.5458,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Robust,0.9462,0.6007,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Contractive,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.0042
5dir,ProcessParent,Baseline,0.8712,0.0215,0.0388,0.4444,0.0714,0.9529,0.0068
5dir,ProcessParent,Sparse,0.679,0.0281,0.0667,0.4444,0.1159,0.9723,0.005
5dir,ProcessParent,Deep SVDD,0.8861,0.0264,0.0388,0.4444,0.0714,0.9529,0.005
5dir,ProcessParent,DAE,0.8786,0.0284,0.0526,0.4444,0.0941,0.9651,0.005
5dir,ProcessParent,VAE,0.6118,0.0213,0.0506,0.4444,0.0909,0.9637,0.006
5dir,ProcessParent,Beta-VAE,0.6166,0.033,0.1034,0.3333,0.1579,0.9855,0.005
