Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9261,0.0445,0.1429,0.1111,0.125,0.9937,0.0354
5dir,ProcessAll,Sparse,0.8845,0.0469,0.1081,0.4444,0.1739,0.983,0.005
5dir,ProcessAll,Deep SVDD,0.9448,0.0561,0.1053,0.2222,0.1429,0.9893,0.004
5dir,ProcessAll,DAE,0.8927,0.0408,0.0882,0.3333,0.1395,0.9835,0.005
5dir,ProcessAll,VAE,0.7781,0.0349,0.0789,0.3333,0.1277,0.9817,0.007
5dir,ProcessAll,Beta-VAE,0.8584,0.0401,0.0968,0.3333,0.15,0.9848,0.006
5dir,ProcessAll,GMVAE,0.907,0.038,0.0882,0.3333,0.1395,0.9835,0.006
5dir,ProcessAll,Attention AE,0.9376,0.0377,0.0625,0.1111,0.08,0.9897,0.006
5dir,ProcessAll,LSTMAE,0.9329,0.0393,0.1,0.1111,0.1053,0.9924,0.006
5dir,ProcessAll,Robust,0.944,0.0451,0.0833,0.1111,0.0952,0.9915,0.005
5dir,ProcessAll,Contractive,0.8713,0.0442,0.1026,0.4444,0.1667,0.9821,0.005
5dir,ProcessEvent,Baseline,0.8642,0.0306,0.0446,0.7778,0.0843,0.9321,0.005
5dir,ProcessEvent,Sparse,0.8409,0.0205,0.0345,0.3333,0.0625,0.9598,0.005
5dir,ProcessEvent,Deep SVDD,0.5395,0.0105,0.027,0.2222,0.0482,0.9647,0.005
5dir,ProcessEvent,DAE,0.8381,0.0191,0.0341,0.3333,0.0619,0.9593,0.005
5dir,ProcessEvent,VAE,0.7797,0.0163,0.0326,0.3333,0.0594,0.9576,0.005
5dir,ProcessEvent,Beta-VAE,0.8159,0.0207,0.0405,0.3333,0.0723,0.9656,0.005
5dir,ProcessEvent,GMVAE,0.8393,0.0194,0.0395,0.3333,0.0706,0.9647,0.005
5dir,ProcessEvent,Attention AE,0.8809,0.0223,0.0323,0.5556,0.061,0.9312,0.005
5dir,ProcessEvent,LSTMAE,0.8819,0.0222,0.0339,0.4444,0.063,0.9468,0.007
5dir,ProcessEvent,Robust,0.8783,0.0289,0.0484,0.6667,0.0902,0.9459,0.005
5dir,ProcessEvent,Contractive,0.7291,0.0184,0.0337,0.3333,0.0612,0.9589,0.005
5dir,ProcessExec,Baseline,0.836,0.3417,0.5,0.4444,0.4706,0.996,0.006
5dir,ProcessExec,Sparse,0.9281,0.0961,0.1923,0.5556,0.2857,0.9888,0.006
5dir,ProcessExec,Deep SVDD,0.8127,0.3675,0.8,0.4444,0.5714,0.9973,0.004
5dir,ProcessExec,DAE,0.9203,0.0885,0.1429,0.4444,0.2162,0.987,0.005
5dir,ProcessExec,VAE,0.9051,0.0275,0.036,0.4444,0.0667,0.9496,0.005
5dir,ProcessExec,Beta-VAE,0.9431,0.0918,0.1905,0.4444,0.2667,0.9901,0.0063
5dir,ProcessExec,GMVAE,0.9256,0.1097,0.2222,0.4444,0.2963,0.9915,0.006
5dir,ProcessExec,Attention AE,0.8596,0.3513,0.5714,0.4444,0.5,0.9964,0.006
5dir,ProcessExec,LSTMAE,0.8836,0.1981,0.3333,0.2222,0.2667,0.9951,0.006
5dir,ProcessExec,Robust,0.8933,0.1675,0.1333,0.4444,0.2051,0.9861,0.007
5dir,ProcessExec,Contractive,0.9553,0.1173,0.2,0.5556,0.2941,0.9892,0.005
5dir,ProcessNetflow,Baseline,0.9538,0.6756,0.75,0.75,0.75,0.971,0.003
5dir,ProcessNetflow,Sparse,0.9269,0.5563,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Deep SVDD,0.9577,0.6811,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,DAE,0.9192,0.5458,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,VAE,0.5077,0.0752,0.0968,0.75,0.1714,0.5797,0.005
5dir,ProcessNetflow,Beta-VAE,0.65,0.339,1.0,0.25,0.4,0.9565,0.005
5dir,ProcessNetflow,GMVAE,0.9077,0.4119,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Attention AE,0.9462,0.5458,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,LSTMAE,0.9192,0.4256,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,Robust,0.9423,0.5417,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,Contractive,0.9231,0.5506,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessParent,Baseline,0.6329,0.0197,0.0388,0.4444,0.0714,0.9529,0.005
5dir,ProcessParent,Sparse,0.3939,0.0079,0.0385,0.1111,0.0571,0.985,0.005
5dir,ProcessParent,Deep SVDD,0.8088,0.0246,0.0482,0.4444,0.087,0.9619,0.005
5dir,ProcessParent,DAE,0.9209,0.03,0.0455,0.1111,0.0645,0.9869,0.004
5dir,ProcessParent,VAE,0.6104,0.0076,0.0227,0.1111,0.0377,0.9769,0.005
5dir,ProcessParent,Beta-VAE,0.4827,0.0065,0.0227,0.1111,0.0377,0.9769,0.005
5dir,ProcessParent,GMVAE,0.9148,0.0265,0.032,1.0,0.0621,0.8767,0.005
