Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.928,0.082,0.5,0.1111,0.1818,0.996,0.4442
5dir,ProcessAll,Sparse,0.7577,0.054,0.1364,0.3333,0.1935,0.9888,0.009
5dir,ProcessAll,Deep SVDD,0.8325,0.0602,0.1364,0.3333,0.1935,0.9888,0.0626
5dir,ProcessAll,DAE,0.9249,0.0329,0.0714,0.1111,0.087,0.9906,0.009
5dir,ProcessAll,VAE,0.7336,0.0139,0.0333,0.1111,0.0513,0.9835,0.063
5dir,ProcessAll,Beta-VAE,0.6475,0.0096,0.0197,0.4444,0.0377,0.9088,0.009
5dir,ProcessAll,GMVAE,0.7664,0.053,0.1364,0.3333,0.1935,0.9888,0.0485
5dir,ProcessAll,Attention AE,0.775,0.0533,0.1364,0.3333,0.1935,0.9888,0.0833
5dir,ProcessAll,LSTMAE,0.9265,0.0529,0.25,0.1111,0.1538,0.9951,0.072
5dir,ProcessAll,Robust,0.9293,0.0642,0.3333,0.1111,0.1667,0.9955,0.014
5dir,ProcessAll,Contractive,0.7906,0.0536,0.1364,0.3333,0.1935,0.9888,0.008
5dir,ProcessEvent,Baseline,0.8665,0.0193,0.0276,0.5556,0.0526,0.9196,0.008
5dir,ProcessEvent,Sparse,0.7308,0.025,0.0526,0.4444,0.0941,0.9656,0.009
5dir,ProcessEvent,Deep SVDD,0.7618,0.0341,0.0522,0.6667,0.0968,0.95,0.007
5dir,ProcessEvent,DAE,0.8095,0.0257,0.0526,0.4444,0.0941,0.9656,0.012
5dir,ProcessEvent,VAE,0.6702,0.0076,0.0115,0.4444,0.0224,0.8441,0.009
5dir,ProcessEvent,Beta-VAE,0.685,0.0105,0.0185,0.6667,0.0359,0.8561,0.009
5dir,ProcessEvent,GMVAE,0.7323,0.0252,0.0526,0.4444,0.0941,0.9656,0.01
5dir,ProcessEvent,Attention AE,0.732,0.0252,0.0526,0.4444,0.0941,0.9656,0.0295
5dir,ProcessEvent,LSTMAE,0.865,0.0199,0.0342,0.4444,0.0635,0.9473,0.023
5dir,ProcessEvent,Robust,0.757,0.0253,0.0435,0.6667,0.0816,0.9397,0.008
5dir,ProcessEvent,Contractive,0.7303,0.0253,0.0548,0.4444,0.0976,0.9669,0.008
5dir,ProcessExec,Baseline,0.7603,0.167,0.2,0.2222,0.2105,0.9933,0.008
5dir,ProcessExec,Sparse,0.9307,0.0816,0.5,0.1111,0.1818,0.996,0.009
5dir,ProcessExec,Deep SVDD,0.81,0.0911,0.2308,0.3333,0.2727,0.9928,0.006
5dir,ProcessExec,DAE,0.8613,0.0862,0.5,0.1111,0.1818,0.996,0.009
5dir,ProcessExec,VAE,0.7874,0.011,0.0154,0.1111,0.027,0.9676,0.0085
5dir,ProcessExec,Beta-VAE,0.7325,0.0077,0.0106,1.0,0.0209,0.6212,0.009
5dir,ProcessExec,GMVAE,0.9131,0.0783,0.5,0.1111,0.1818,0.996,0.009
5dir,ProcessExec,Attention AE,0.928,0.0809,0.5,0.1111,0.1818,0.996,0.032
5dir,ProcessExec,LSTMAE,0.8897,0.1549,1.0,0.1111,0.2,0.9964,0.0215
5dir,ProcessExec,Robust,0.9035,0.1505,1.0,0.1111,0.2,0.9964,0.008
5dir,ProcessExec,Contractive,0.9314,0.0821,0.5,0.1111,0.1818,0.996,0.008
5dir,ProcessNetflow,Baseline,0.9115,0.3061,0.3077,1.0,0.4706,0.8696,0.027
5dir,ProcessNetflow,Sparse,0.8769,0.306,0.5,0.5,0.5,0.942,0.004
5dir,ProcessNetflow,Deep SVDD,0.85,0.2354,0.25,0.5,0.3333,0.8841,0.004
5dir,ProcessNetflow,DAE,0.8731,0.3025,0.5,0.5,0.5,0.942,0.004
5dir,ProcessNetflow,VAE,0.5115,0.0702,0.08,1.0,0.1481,0.3333,0.0035
5dir,ProcessNetflow,Beta-VAE,0.6269,0.0903,0.1026,1.0,0.186,0.4928,0.004
5dir,ProcessNetflow,GMVAE,0.8654,0.3,0.5,0.5,0.5,0.942,0.004
5dir,ProcessNetflow,Attention AE,0.8654,0.2987,0.5,0.5,0.5,0.942,0.0065
5dir,ProcessNetflow,LSTMAE,0.9038,0.2853,0.3077,1.0,0.4706,0.8696,0.01
5dir,ProcessNetflow,Robust,0.9231,0.3353,0.3077,1.0,0.4706,0.8696,0.0055
5dir,ProcessNetflow,Contractive,0.8769,0.306,0.5,0.5,0.5,0.942,0.004
5dir,ProcessParent,Baseline,0.8854,0.0284,0.05,0.4444,0.0899,0.9633,0.008
5dir,ProcessParent,Sparse,0.4869,0.0069,0.0233,0.1111,0.0385,0.9773,0.01
5dir,ProcessParent,Deep SVDD,0.8756,0.0262,0.046,0.4444,0.0833,0.9601,0.006
5dir,ProcessParent,DAE,0.9214,0.0282,0.0305,0.6667,0.0583,0.9121,0.009
5dir,ProcessParent,VAE,0.6021,0.0242,0.1111,0.1111,0.1111,0.9927,0.01
5dir,ProcessParent,Beta-VAE,0.4827,0.0047,0.0072,0.1111,0.0136,0.9343,0.0095
5dir,ProcessParent,GMVAE,0.487,0.0069,0.0238,0.1111,0.0392,0.9778,0.009
5dir,ProcessParent,Attention AE,0.487,0.0069,0.0238,0.1111,0.0392,0.9778,0.034
5dir,ProcessParent,LSTMAE,0.9004,0.0301,0.0449,0.4444,0.0816,0.9592,0.024
5dir,ProcessParent,Robust,0.7556,0.0225,0.0449,0.4444,0.0816,0.9592,0.009
5dir,ProcessParent,Contractive,0.5717,0.0078,0.0233,0.1111,0.0385,0.9773,0.0095
cadets,ProcessAll,Baseline,0.9994,0.2393,0.3,0.5455,0.3871,0.9996,0.1215
cadets,ProcessAll,Sparse,0.927,0.0019,0.003,0.6364,0.006,0.9484,0.1035
cadets,ProcessAll,Deep SVDD,0.4999,0.0002,0.0002,1.0,0.0005,0.0003,0.044
cadets,ProcessAll,DAE,0.9791,0.006,0.0078,0.7273,0.0155,0.9774,0.0995
cadets,ProcessAll,VAE,0.9274,0.0019,0.0029,0.7273,0.0058,0.9389,0.103
cadets,ProcessAll,Beta-VAE,0.9272,0.0019,0.003,0.6364,0.006,0.9487,0.1035
cadets,ProcessAll,GMVAE,0.9262,0.0019,0.0029,0.6364,0.0058,0.9466,0.1065
cadets,ProcessAll,Attention AE,0.9255,0.0019,0.0029,0.6364,0.0057,0.946,0.5843
cadets,ProcessAll,LSTMAE,0.9994,0.2301,0.2727,0.5455,0.3636,0.9995,3.3932
cadets,ProcessAll,Robust,0.9991,0.1905,0.2308,0.5455,0.3243,0.9994,0.1015
cadets,ProcessAll,Contractive,0.9251,0.0019,0.0029,0.6364,0.0058,0.9469,0.0979
cadets,ProcessEvent,Baseline,0.8843,0.0014,0.0027,0.3636,0.0054,0.9673,0.104
cadets,ProcessEvent,Sparse,0.727,0.0005,0.0007,0.4545,0.0014,0.8458,0.118
cadets,ProcessEvent,Deep SVDD,0.5,0.0002,0.0002,1.0,0.0005,0.0003,0.045
cadets,ProcessEvent,DAE,0.7633,0.0006,0.0008,0.7273,0.0016,0.7838,0.0985
cadets,ProcessEvent,VAE,0.7249,0.0005,0.0007,0.2727,0.0014,0.9039,0.1026
cadets,ProcessEvent,Beta-VAE,0.7352,0.0005,0.0008,0.3636,0.0016,0.8864,0.1036
cadets,ProcessEvent,GMVAE,0.7243,0.0005,0.0007,0.4545,0.0014,0.8441,0.104
cadets,ProcessEvent,Attention AE,0.7072,0.0005,0.0007,0.3636,0.0013,0.8672,0.5455
cadets,ProcessEvent,LSTMAE,0.8738,0.0011,0.0018,0.4545,0.0036,0.9387,0.3462
cadets,ProcessEvent,Robust,0.884,0.0016,0.0027,0.3636,0.0055,0.9676,0.0975
cadets,ProcessEvent,Contractive,0.7282,0.0005,0.0007,0.4545,0.0014,0.8463,0.0991
cadets,ProcessExec,Baseline,0.9993,0.4614,0.5455,0.5455,0.5455,0.9998,0.0986
cadets,ProcessExec,Sparse,0.8918,0.0014,0.0024,0.2727,0.0048,0.9721,0.0961
cadets,ProcessExec,Deep SVDD,0.6818,0.3456,0.8,0.3636,0.5,0.9998,0.045
cadets,ProcessExec,DAE,0.9946,0.1613,0.1277,0.5455,0.2069,0.999,0.0966
cadets,ProcessExec,VAE,0.889,0.0013,0.002,0.2727,0.004,0.9671,0.104
