Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll_qwen2_7b_bnb4bit,Baseline,0.9499,0.0536,0.1111,0.2222,0.1481,0.9897,0.507
5dir,ProcessAll_qwen2_7b_bnb4bit,Sparse,0.9569,0.0585,0.1429,0.1111,0.125,0.9937,0.0115
5dir,ProcessAll_qwen2_7b_bnb4bit,Deep SVDD,0.611,0.1328,0.6667,0.2222,0.3333,0.9964,0.0661
5dir,ProcessAll_qwen2_7b_bnb4bit,DAE,0.956,0.1108,0.1538,0.2222,0.1818,0.992,0.01
5dir,ProcessAll_qwen2_7b_bnb4bit,VAE,0.9498,0.0749,0.093,0.4444,0.1538,0.9803,0.073
5dir,ProcessAll_qwen2_7b_bnb4bit,Beta-VAE,0.9469,0.0891,0.1212,0.4444,0.1905,0.9848,0.009
5dir,ProcessAll_qwen2_7b_bnb4bit,GMVAE,0.9582,0.0682,0.0952,0.2222,0.1333,0.9884,0.053
5dir,ProcessAll_qwen2_7b_bnb4bit,Attention AE,0.5199,0.0211,0.0588,0.2222,0.093,0.9826,0.062
5dir,ProcessAll_qwen2_7b_bnb4bit,LSTMAE,0.5097,0.0191,0.0588,0.2222,0.093,0.9826,0.0665
5dir,ProcessAll_qwen2_7b_bnb4bit,Robust,0.9461,0.0482,0.0909,0.2222,0.129,0.9879,0.013
5dir,ProcessAll_qwen2_7b_bnb4bit,Contractive,0.9684,0.3189,0.75,0.3333,0.4615,0.9969,0.011
5dir,ProcessEvent_qwen2_7b_bnb4bit,Baseline,0.8844,0.0206,0.0314,0.6667,0.06,0.916,0.01
5dir,ProcessEvent_qwen2_7b_bnb4bit,Sparse,0.8816,0.0191,0.0318,0.5556,0.0602,0.9303,0.01
5dir,ProcessEvent_qwen2_7b_bnb4bit,Deep SVDD,0.4993,0.004,0.004,1.0,0.008,0.004,0.0071
5dir,ProcessEvent_qwen2_7b_bnb4bit,DAE,0.8219,0.0204,0.0311,0.6667,0.0594,0.9151,0.01
5dir,ProcessEvent_qwen2_7b_bnb4bit,VAE,0.8448,0.0164,0.0238,0.5556,0.0457,0.9066,0.01
5dir,ProcessEvent_qwen2_7b_bnb4bit,Beta-VAE,0.7589,0.0106,0.0139,0.7778,0.0273,0.7775,0.0095
5dir,ProcessEvent_qwen2_7b_bnb4bit,GMVAE,0.8676,0.0333,0.0667,0.3333,0.1111,0.9786,0.01
5dir,ProcessEvent_qwen2_7b_bnb4bit,Attention AE,0.1592,0.0025,0.0041,1.0,0.0081,0.0139,0.0274
5dir,ProcessEvent_qwen2_7b_bnb4bit,LSTMAE,0.1575,0.0025,0.004,1.0,0.008,0.008,0.0198
5dir,ProcessEvent_qwen2_7b_bnb4bit,Robust,0.7824,0.0225,0.0336,0.4444,0.0625,0.9464,0.0095
5dir,ProcessEvent_qwen2_7b_bnb4bit,Contractive,0.8626,0.0245,0.05,0.4444,0.0899,0.9638,0.01
5dir,ProcessExec_qwen2_7b_bnb4bit,Baseline,0.9114,0.2537,0.5,0.3333,0.4,0.996,0.0104
5dir,ProcessExec_qwen2_7b_bnb4bit,Sparse,0.8148,0.2367,0.6667,0.2222,0.3333,0.9964,0.0123
5dir,ProcessExec_qwen2_7b_bnb4bit,Deep SVDD,0.5556,0.1147,1.0,0.1111,0.2,0.9964,0.0074
5dir,ProcessExec_qwen2_7b_bnb4bit,DAE,0.8945,0.2419,0.6667,0.2222,0.3333,0.9964,0.01
5dir,ProcessExec_qwen2_7b_bnb4bit,VAE,0.8654,0.3137,0.6,0.3333,0.4286,0.9964,0.01
5dir,ProcessExec_qwen2_7b_bnb4bit,Beta-VAE,0.8,0.3166,0.6,0.3333,0.4286,0.9964,0.011
5dir,ProcessExec_qwen2_7b_bnb4bit,GMVAE,0.8161,0.272,0.6,0.3333,0.4286,0.9964,0.011
5dir,ProcessExec_qwen2_7b_bnb4bit,Attention AE,0.7723,0.0595,0.1667,0.2222,0.1905,0.9924,0.0291
5dir,ProcessExec_qwen2_7b_bnb4bit,LSTMAE,0.7468,0.0493,0.25,0.1111,0.1538,0.9951,0.023
5dir,ProcessExec_qwen2_7b_bnb4bit,Robust,0.9054,0.1702,0.6667,0.2222,0.3333,0.9964,0.011
