Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9137,0.0239,0.0314,1.0,0.0608,0.8758,0.075
5dir,ProcessAll,Sparse,0.7856,0.0221,0.0588,0.1111,0.0769,0.9893,0.011
5dir,ProcessAll,Deep SVDD,0.9508,0.0722,0.1111,0.3333,0.1667,0.9866,0.006
5dir,ProcessAll,DAE,0.9023,0.0213,0.029,0.7778,0.056,0.8945,0.008
5dir,ProcessAll,VAE,0.652,0.0068,0.0102,0.5556,0.0201,0.7819,0.009
5dir,ProcessAll,Beta-VAE,0.7045,0.0085,0.0135,0.6667,0.0265,0.8034,0.0086
5dir,ProcessAll,GMVAE,0.829,0.0236,0.0625,0.1111,0.08,0.9897,0.008
5dir,ProcessAll,Attention AE,0.8118,0.0204,0.0417,0.1111,0.0606,0.9861,0.0327
5dir,ProcessAll,LSTMAE,0.9073,0.0227,0.0294,1.0,0.0571,0.8673,0.021
5dir,ProcessAll,Robust,0.9188,0.0251,0.032,0.8889,0.0618,0.8914,0.011
5dir,ProcessAll,Contractive,0.8059,0.0202,0.0435,0.1111,0.0625,0.9866,0.008
5dir,ProcessEvent,Baseline,0.8827,0.0229,0.036,0.4444,0.0667,0.95,0.008
5dir,ProcessEvent,Sparse,0.7381,0.0258,0.0476,0.3333,0.0833,0.9705,0.008
5dir,ProcessEvent,Deep SVDD,0.3166,0.0084,0.05,0.1111,0.069,0.9879,0.006
5dir,ProcessEvent,DAE,0.7383,0.0258,0.0476,0.3333,0.0833,0.9705,0.01
5dir,ProcessEvent,VAE,0.6415,0.0114,0.0256,0.1111,0.0417,0.9794,0.009
5dir,ProcessEvent,Beta-VAE,0.6051,0.0058,0.0088,0.4444,0.0173,0.7967,0.008
5dir,ProcessEvent,GMVAE,0.7471,0.0268,0.0484,0.3333,0.0845,0.971,0.009
5dir,ProcessEvent,Attention AE,0.7471,0.0268,0.0484,0.3333,0.0845,0.971,0.0302
5dir,ProcessEvent,LSTMAE,0.8922,0.0217,0.0364,0.4444,0.0672,0.9504,0.0242
5dir,ProcessEvent,Robust,0.8879,0.025,0.0403,0.5556,0.0752,0.945,0.012
5dir,ProcessEvent,Contractive,0.7481,0.0267,0.0484,0.3333,0.0845,0.971,0.008
5dir,ProcessExec,Baseline,0.8583,0.1997,0.5,0.2222,0.3077,0.996,0.0092
5dir,ProcessExec,Sparse,0.9327,0.0888,0.5,0.1111,0.1818,0.996,0.01
5dir,ProcessExec,Deep SVDD,0.7782,0.2695,0.5,0.3333,0.4,0.996,0.006
5dir,ProcessExec,DAE,0.9125,0.0862,0.5,0.1111,0.1818,0.996,0.0084
5dir,ProcessExec,VAE,0.8282,0.0139,0.0217,0.4444,0.0415,0.9168,0.013
5dir,ProcessExec,Beta-VAE,0.8146,0.0123,0.0179,0.1111,0.0308,0.9717,0.009
5dir,ProcessExec,GMVAE,0.9337,0.0872,0.5,0.1111,0.1818,0.996,0.009
5dir,ProcessExec,Attention AE,0.9332,0.0874,0.5,0.1111,0.1818,0.996,0.0362
5dir,ProcessExec,LSTMAE,0.8981,0.1983,0.5,0.2222,0.3077,0.996,0.023
5dir,ProcessExec,Robust,0.834,0.189,0.4,0.2222,0.2857,0.9955,0.009
5dir,ProcessExec,Contractive,0.9307,0.0873,0.5,0.1111,0.1818,0.996,0.008
5dir,ProcessNetflow,Baseline,0.9654,0.5792,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,Sparse,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Deep SVDD,0.8962,0.3624,0.5,0.5,0.5,0.942,0.003
5dir,ProcessNetflow,DAE,0.9154,0.6202,1.0,0.5,0.6667,0.971,0.003
5dir,ProcessNetflow,VAE,0.4385,0.0625,0.0732,0.75,0.1333,0.4348,0.005
5dir,ProcessNetflow,Beta-VAE,0.5577,0.0932,0.1333,0.5,0.2105,0.7826,0.004
5dir,ProcessNetflow,GMVAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.005
5dir,ProcessNetflow,Attention AE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.007
5dir,ProcessNetflow,LSTMAE,0.9385,0.538,0.75,0.75,0.75,0.971,0.006
5dir,ProcessNetflow,Robust,0.9385,0.538,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,Contractive,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessParent,Baseline,0.8799,0.0252,0.0412,0.4444,0.0755,0.9556,0.009
5dir,ProcessParent,Sparse,0.6943,0.0164,0.0328,0.4444,0.0611,0.9442,0.011
5dir,ProcessParent,Deep SVDD,0.7623,0.0116,0.0204,0.1111,0.0345,0.9746,0.007
5dir,ProcessParent,DAE,0.922,0.0302,0.0417,0.1111,0.0606,0.9859,0.011
5dir,ProcessParent,VAE,0.6107,0.0063,0.0092,0.6667,0.0182,0.7072,0.009
5dir,ProcessParent,Beta-VAE,0.6096,0.0059,0.0082,0.5556,0.0161,0.7226,0.0093
5dir,ProcessParent,GMVAE,0.6484,0.0159,0.0317,0.4444,0.0593,0.9424,0.011
5dir,ProcessParent,Attention AE,0.6491,0.0157,0.0317,0.4444,0.0593,0.9424,0.037
5dir,ProcessParent,LSTMAE,0.8903,0.0271,0.0374,0.4444,0.069,0.951,0.024
5dir,ProcessParent,Robust,0.6691,0.0187,0.0412,0.4444,0.0755,0.9556,0.008
5dir,ProcessParent,Contractive,0.6486,0.0159,0.0317,0.4444,0.0593,0.9424,0.0095
cadets,ProcessAll,Baseline,0.998,0.065,0.0845,0.5455,0.1463,0.9984,0.135
cadets,ProcessAll,Sparse,0.9125,0.0017,0.0028,0.6364,0.0056,0.9442,0.12
cadets,ProcessAll,Deep SVDD,0.5454,0.0229,0.25,0.0909,0.1333,0.9997,0.05
cadets,ProcessAll,DAE,0.9429,0.0024,0.0038,0.4545,0.0075,0.9707,0.112
cadets,ProcessAll,VAE,0.9048,0.0015,0.0023,0.5455,0.0045,0.9409,0.1204
cadets,ProcessAll,Beta-VAE,0.9115,0.0016,0.0026,0.6364,0.0052,0.9402,0.1165
cadets,ProcessAll,GMVAE,0.9117,0.0017,0.0028,0.6364,0.0056,0.9445,0.1198
cadets,ProcessAll,Attention AE,0.9103,0.0017,0.0028,0.6364,0.0056,0.9442,0.5854
cadets,ProcessAll,LSTMAE,0.9977,0.0543,0.0625,0.4545,0.1099,0.9982,0.8053
cadets,ProcessAll,Robust,0.9981,0.0636,0.0769,0.5455,0.1348,0.9983,0.1135
cadets,ProcessAll,Contractive,0.9128,0.0018,0.0029,0.6364,0.0057,0.9459,0.1115
cadets,ProcessEvent,Baseline,0.8846,0.0015,0.0024,0.1818,0.0047,0.9813,0.1177
cadets,ProcessEvent,Sparse,0.7558,0.0006,0.0008,0.3636,0.0016,0.886,0.1167
cadets,ProcessEvent,Deep SVDD,0.5,0.0002,0.0002,1.0,0.0005,0.0002,0.05
cadets,ProcessEvent,DAE,0.7523,0.0006,0.0009,0.8182,0.0018,0.772,0.116
cadets,ProcessEvent,VAE,0.8138,0.0008,0.0012,0.5455,0.0023,0.8846,0.127
cadets,ProcessEvent,Beta-VAE,0.7481,0.0006,0.0008,0.7273,0.0016,0.7814,0.121
cadets,ProcessEvent,GMVAE,0.7537,0.0006,0.0008,0.3636,0.0016,0.8898,0.1185
cadets,ProcessEvent,Attention AE,0.7699,0.0007,0.0009,0.3636,0.0018,0.9028,0.5942
cadets,ProcessEvent,LSTMAE,0.8736,0.0011,0.0014,0.6364,0.0029,0.8918,0.8305
cadets,ProcessEvent,Robust,0.9001,0.0019,0.0033,0.3636,0.0065,0.9727,0.113
cadets,ProcessEvent,Contractive,0.7621,0.0006,0.0009,0.3636,0.0017,0.8952,0.114
cadets,ProcessExec,Baseline,0.9997,0.3826,0.3333,0.9091,0.4878,0.9995,0.1113
cadets,ProcessExec,Sparse,0.8833,0.0124,0.125,0.0909,0.1053,0.9996,0.102
cadets,ProcessExec,Deep SVDD,0.6364,0.2729,1.0,0.2727,0.4286,0.9998,0.042
cadets,ProcessExec,DAE,0.9904,0.0941,0.25,0.4545,0.3226,0.9995,0.089
cadets,ProcessExec,VAE,0.8887,0.0033,0.0175,0.0909,0.0294,0.9985,0.094
cadets,ProcessExec,Beta-VAE,0.8946,0.0014,0.0034,0.0909,0.0066,0.9933,0.099
cadets,ProcessExec,GMVAE,0.8854,0.0124,0.125,0.0909,0.1053,0.9996,0.097
cadets,ProcessExec,Attention AE,0.8885,0.0124,0.125,0.0909,0.1053,0.9996,0.5925
cadets,ProcessExec,LSTMAE,0.9997,0.4617,0.4667,0.6364,0.5385,0.9997,0.6795
