Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9253,0.0441,0.125,0.1111,0.1176,0.9933,0.018
5dir,ProcessAll,Sparse,0.7948,0.0467,0.1,0.4444,0.1633,0.9817,0.005
5dir,ProcessAll,Deep SVDD,0.9444,0.0901,0.2222,0.2222,0.2222,0.9937,0.005
5dir,ProcessAll,DAE,0.8961,0.032,0.0625,0.1111,0.08,0.9897,0.006
5dir,ProcessAll,VAE,0.7518,0.0341,0.0833,0.2222,0.1212,0.987,0.0065
5dir,ProcessAll,Beta-VAE,0.8005,0.0463,0.0968,0.3333,0.15,0.9848,0.0055
5dir,ProcessAll,GMVAE,0.7151,0.0357,0.0909,0.2222,0.129,0.9879,0.005
5dir,ProcessAll,Attention AE,0.9355,0.0378,0.0769,0.1111,0.0909,0.9911,0.007
5dir,ProcessAll,LSTMAE,0.9337,0.0346,0.0381,0.8889,0.0731,0.9093,0.0075
5dir,ProcessAll,Robust,0.9365,0.0401,0.0769,0.1111,0.0909,0.9911,0.007
5dir,ProcessAll,Contractive,0.7577,0.0467,0.1333,0.2222,0.1667,0.9911,0.005
5dir,ProcessEvent,Baseline,0.8531,0.0242,0.0357,0.7778,0.0683,0.9147,0.005
5dir,ProcessEvent,Sparse,0.8057,0.0213,0.04,0.4444,0.0734,0.9549,0.006
5dir,ProcessEvent,Deep SVDD,0.8652,0.0285,0.0469,0.3333,0.0822,0.9701,0.004
5dir,ProcessEvent,DAE,0.8567,0.0269,0.0444,0.2222,0.0741,0.9777,0.005
5dir,ProcessEvent,VAE,0.725,0.0202,0.0448,0.3333,0.0789,0.9687,0.006
5dir,ProcessEvent,Beta-VAE,0.7954,0.0214,0.04,0.4444,0.0734,0.9549,0.006
5dir,ProcessEvent,GMVAE,0.8259,0.023,0.0408,0.4444,0.0748,0.9558,0.006
5dir,ProcessEvent,Attention AE,0.8814,0.0229,0.0367,0.4444,0.0678,0.9508,0.007
5dir,ProcessEvent,LSTMAE,0.8752,0.0202,0.0314,0.7778,0.0603,0.9026,0.007
5dir,ProcessEvent,Robust,0.9109,0.0308,0.0424,0.7778,0.0805,0.9285,0.006
5dir,ProcessEvent,Contractive,0.8401,0.0234,0.0404,0.4444,0.0741,0.9553,0.006
5dir,ProcessExec,Baseline,0.8881,0.2324,0.5,0.4444,0.4706,0.996,0.005
5dir,ProcessExec,Sparse,0.956,0.0693,0.1429,0.2222,0.1739,0.9915,0.005
5dir,ProcessExec,Deep SVDD,0.7221,0.1963,0.4,0.4444,0.4211,0.9951,0.005
5dir,ProcessExec,DAE,0.9258,0.0942,0.25,0.2222,0.2353,0.9942,0.005
5dir,ProcessExec,VAE,0.9465,0.0691,0.1667,0.3333,0.2222,0.9906,0.005
5dir,ProcessExec,Beta-VAE,0.9509,0.09,0.1304,0.3333,0.1875,0.9883,0.006
5dir,ProcessExec,GMVAE,0.9529,0.0667,0.1429,0.2222,0.1739,0.9915,0.0055
5dir,ProcessExec,Attention AE,0.8937,0.137,0.2857,0.2222,0.25,0.9946,0.007
5dir,ProcessExec,LSTMAE,0.8826,0.2083,0.5,0.2222,0.3077,0.996,0.008
5dir,ProcessExec,Robust,0.9028,0.0837,0.25,0.2222,0.2353,0.9942,0.006
5dir,ProcessExec,Contractive,0.9511,0.0528,0.1111,0.1111,0.1111,0.9928,0.005
5dir,ProcessNetflow,Baseline,0.9423,0.5417,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,Sparse,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,Deep SVDD,0.9615,0.5701,0.75,0.75,0.75,0.971,0.004
5dir,ProcessNetflow,DAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessNetflow,VAE,0.6615,0.1227,0.2,0.25,0.2222,0.8986,0.004
5dir,ProcessNetflow,Beta-VAE,0.5346,0.1426,0.2857,0.5,0.3636,0.8986,0.0052
5dir,ProcessNetflow,GMVAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.005
5dir,ProcessNetflow,Attention AE,0.9192,0.5458,0.6667,0.5,0.5714,0.9565,0.004
5dir,ProcessNetflow,LSTMAE,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.005
5dir,ProcessNetflow,Robust,0.9615,0.5701,0.75,0.75,0.75,0.971,0.0044
5dir,ProcessNetflow,Contractive,0.9231,0.6291,1.0,0.5,0.6667,0.971,0.004
5dir,ProcessParent,Baseline,0.8929,0.0296,0.0449,0.4444,0.0816,0.9592,0.005
5dir,ProcessParent,Sparse,0.6537,0.009,0.0213,0.1111,0.0357,0.9755,0.005
5dir,ProcessParent,Deep SVDD,0.9329,0.0353,0.0449,0.4444,0.0816,0.9592,0.0054
5dir,ProcessParent,DAE,0.9211,0.0312,0.0556,0.1111,0.0741,0.9887,0.006
5dir,ProcessParent,VAE,0.5658,0.01,0.05,0.1111,0.069,0.9878,0.006
5dir,ProcessParent,Beta-VAE,0.5523,0.0067,0.0208,0.1111,0.0351,0.9751,0.006
5dir,ProcessParent,GMVAE,0.5284,0.0072,0.0213,0.1111,0.0357,0.9755,0.006
5dir,ProcessParent,Attention AE,0.7277,0.0226,0.0351,0.6667,0.0667,0.9238,0.007
5dir,ProcessParent,LSTMAE,0.8898,0.0263,0.0351,0.6667,0.0667,0.9238,0.007
5dir,ProcessParent,Robust,0.8774,0.0289,0.043,0.4444,0.0784,0.9574,0.006
5dir,ProcessParent,Contractive,0.3737,0.011,0.0667,0.1111,0.0833,0.99,0.006
cadets,ProcessAll,Baseline,0.9995,0.276,0.4167,0.4545,0.4348,0.9997,0.0475
