Performer,Context,Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy,Inference Time(s)
5dir,ProcessAll,Baseline,0.9363,0.0536,0.0909,0.5556,0.1562,0.9759,0.0217
5dir,ProcessAll,Sparse,0.9312,0.0544,0.12,0.3333,0.1765,0.9875,0.0207
5dir,ProcessAll,Deep SVDD,0.9458,0.0829,0.1389,0.5556,0.2222,0.9844,0.005
5dir,ProcessAll,DAE,0.9439,0.0463,0.0769,0.3333,0.125,0.9812,0.006
5dir,ProcessAll,VAE,0.9297,0.0602,0.15,0.3333,0.2069,0.9897,0.007
5dir,ProcessAll,Beta-VAE,0.9302,0.0472,0.0909,0.3333,0.1429,0.9839,0.0071
5dir,ProcessAll,GMVAE,0.9282,0.054,0.125,0.3333,0.1818,0.9879,0.006
5dir,ProcessAll,Attention AE,0.9424,0.0502,0.0676,0.5556,0.1205,0.9674,0.013
5dir,ProcessAll,LSTMAE,0.9415,0.0476,0.0676,0.5556,0.1205,0.9674,0.0075
5dir,ProcessAll,Robust,0.9403,0.0489,0.0625,0.5556,0.1124,0.9647,0.006
5dir,ProcessAll,Contractive,0.9262,0.0535,0.125,0.3333,0.1818,0.9879,0.007
5dir,ProcessEvent,Baseline,0.8327,0.0268,0.0387,0.7778,0.0737,0.9214,0.006
5dir,ProcessEvent,Sparse,0.8982,0.0326,0.0513,0.4444,0.092,0.9647,0.006
5dir,ProcessEvent,Deep SVDD,0.9024,0.0385,0.0606,0.4444,0.1067,0.9701,0.0042
5dir,ProcessEvent,DAE,0.863,0.0325,0.0556,0.4444,0.0988,0.9674,0.0061
5dir,ProcessEvent,VAE,0.8792,0.0308,0.0506,0.4444,0.0909,0.9643,0.007
5dir,ProcessEvent,Beta-VAE,0.8296,0.0302,0.0588,0.3333,0.1,0.9759,0.007
5dir,ProcessEvent,GMVAE,0.8979,0.0325,0.0513,0.4444,0.092,0.9647,0.0064
5dir,ProcessEvent,Attention AE,0.8857,0.0242,0.0357,0.4444,0.0661,0.9495,0.0081
